OBJECTID,JoinID,JoinID 1910,Valid in 1910,Geometry Check 1910,FULL_STREE,ST Name Alternate 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
2181,G00002167,G00002181,1,1,ESPLANADE,NA,ESPLANADE,NA,NA,NA,NA,1034,1034,ESPLANADE
2182,G00002168,G00002182,1,1,BANNER 3 RD,NA,BANNER 3 RD,NA,NA,NA,NA,1039,1039,BANNER 3 RD
2184,G00002169,G00002184,1,1,GREENE AVE,NA,GREENE AVE,41,59,32,52,469,472,GREENE AVE
2185,G00002170,G00002185,1,1,E 42,NA,E 42,839,871,856,872,996,996,E 42
2186,G00002171,G00002186,1,1,50,NA,50,1501,1579,1500,1578,1409,1062,50
2187,G00002172,G00002187,1,1,LIBERTY AVE,NA,LIBERTY AVE,487,497,488,506,764,781,LIBERTY AVE
2188,G00002173,G00002188,1,1,WORTMAN AVE,NA,WORTMAN AVE,351,373,352,374,984,984,WORTMAN AVE
2189,G00002174,G00002189,1,1,85,NA,85,501,585,NA,NA,1085,1085,85
2190,G00002175,G00002190,1,1,THROOP AVE,NA,THROOP AVE,383,395,408,420,587,583,THROOP AVE
2191,G00002176,G00002191,1,1,SENECA AVE,NA,SENECA AVE,NA,NA,NA,NA,416,416,SENECA AVE
2192,G00002177,G00002192,1,1,SCHOLES,NA,SCHOLES,NA,NA,NA,NA,416,416,SCHOLES
2193,G00002178,G00002193,1,1,UTICA AVE,NA,UTICA AVE,279,297,280,298,666,667,UTICA AVE
2194,G00002179,G00002194,1,1,ESSEX,NA,ESSEX,403,453,404,454,777,778,ESSEX
2195,G00002180,G00002195,1,1,HEGEMAN AVE,NA,HEGEMAN AVE,489,513,492,514,803,986,HEGEMAN AVE
2196,G00002181,G00002196,1,1,21 AVE,BAY 27,21 AVE,NA,NA,NA,NA,1058,1058,21 AVE
2197,G00002182,G00002197,1,1,79,NA,79,NA,NA,NA,NA,1050,1050,79
2198,G00002183,G00002198,1,1,HOYT,NA,HOYT,91,107,90,108,27,24,HOYT
2199,G00002184,G00002199,1,1,FILLMORE AVE,NA,FILLMORE AVE,5301,5323,5302,5324,1001,1001,FILLMORE AVE
2200,G00002185,G00002200,1,1,HEGEMAN AVE,NA,HEGEMAN AVE,423,445,424,444,803,986,HEGEMAN AVE
2201,G00002186,G00002201,1,1,16 AVE,NA,16 AVE,NA,NA,7902,7924,1074,1074,16 AVE
2202,G00002187,G00002202,1,1,FANCHON PL,NA,FANCHON PL,NA,21,NA,NA,763,762,FANCHON PL
2203,G00002188,G00002203,1,1,PARK AVE,NA,PARK AVE,571,653,562,650,481,482,PARK AVE
2204,G00002189,G00002204,1,1,TILDEN AVE,NA,TILDEN AVE,2509,2533,2516,2542,1016,1015,TILDEN AVE
2205,G00002190,G00002205,1,1,MILLER AVE,NA,MILLER AVE,57,73,58,74,767,761,MILLER AVE
2206,G00002191,G00002206,1,1,BUTLER PL,NA,BUTLER PL,1,31,2,44,192,192,BUTLER PL
2207,G00002192,G00002207,1,1,E 29,NA,E 29,1487,1595,1496,1588,1001,1001,E 29
2208,G00002193,G00002208,1,1,CT,NA,CT,155,167,144,156,14,58,CT
2209,G00002194,G00002209,1,1,FARRAGUT RD,NA,FARRAGUT RD,NA,NA,NA,NA,997,997,FARRAGUT RD
2210,G00002195,G00002210,1,1,MALCOLM X BLVD,NA,REID AVE,161,177,166,182,686,598,REID AVE
2211,G00002196,G00002211,1,1,81,NA,81,NA,NA,NA,NA,1031,1050,81
2212,G00002197,G00002212,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,215,227,222,236,313,318,MANHATTAN AVE
2213,G00002198,G00002213,1,1,61,NA,61,1701,1779,1702,1780,1058,1058,61
2214,G00002199,G00002214,1,1,AVE L,NA,AVE L,4601,4621,4602,4622,1000,1000,AVE L
2215,G00002200,G00002215,1,1,42,NA,42,1301,1373,1300,1374,1063,1063,42
2216,G00002201,G00002216,1,1,3 AVE,NA,3 AVE,591,601,592,602,524,524,3 AVE
2217,G00002202,G00002217,1,1,NEW LOTS AVE,NA,NEW LOTS AVE,249,263,248,256,803,803,NEW LOTS AVE
2218,G00002203,G00002218,1,1,3 AVE,NA,3 AVE,7601,7623,7602,7624,1413,1413,3 AVE
2219,G00002204,G00002219,1,1,BAY,NA,BAY,123,153,124,154,248,248,BAY
2220,G00002205,G00002220,1,1,E 80,NA,E 80,NA,NA,NA,NA,989,989,E 80
2221,G00002206,G00002221,1,1,TOMPKINS AVE,NA,TOMPKINS AVE,171,185,162,182,492,493,TOMPKINS AVE
2222,G00002207,G00002222,1,1,TILDEN AVE,NA,TILDEN AVE,3001,3021,3002,3018,993,1404,TILDEN AVE
2223,G00002208,G00002223,1,1,W 6,NA,W 6,2301,2305,NA,NA,1038,1038,W 6
2224,G00002209,G00002224,1,1,RYDER,NA,RYDER,2001,2073,2002,2074,1001,1001,RYDER
2225,G00002210,G00002225,1,1,HARWAY AVE,NA,HARWAY AVE,2631,2645,NA,NA,1049,1049,HARWAY AVE
2226,G00002211,G00002226,1,1,GRAHAM AVE,NA,GRAHAM AVE,63,83,80,96,349,352,GRAHAM AVE
2227,G00002212,G00002227,1,1,AVE K,NA,AVE K,2701,2723,2702,2724,1008,1008,AVE K
2228,G00002213,G00002228,1,1,UTICA AVE,NA,UTICA AVE,867,939,868,940,991,991,UTICA AVE
2229,G00002214,G00002229,1,1,3 AVE,NA,3 AVE,515,527,520,536,526,527,3 AVE
2230,G00002215,G00002230,1,1,AVE Q,NA,AVE Q,169,191,170,192,1031,1031,AVE Q
2231,G00002216,G00002231,1,1,16 AVE,NA,16 AVE,NA,NA,7302,7326,1412,1412,16 AVE
2232,G00002217,G00002232,1,1,WINTHROP AVE,NA,WINTHROP AVE,NA,NA,NA,NA,954,954,WINTHROP AVE
2233,G00002218,G00002233,1,1,WARWICK,NA,WARWICK,NA,NA,NA,NA,770,769,WARWICK
2235,G00002219,G00002235,1,1,E 15,NA,E 15,901,985,920,984,1406,1406,E 15
2236,G00002220,G00002236,1,1,GATES AVE,NA,GATES AVE,129,145,118,136,107,107,GATES AVE
2237,G00002221,G00002237,1,1,AVE L,NA,AVE L,1803,1817,1804,1818,1008,1009,AVE L
2238,G00002222,G00002238,1,1,FORT HAMILTN PKWY,NA,FORT HAMILTON AVE,6401,6423,6402,6424,1068,1087,FORT HAMILTON AVE
2239,G00002223,G00002239,1,1,E 34,NA,E 34,1167,1251,1168,1254,1008,1008,E 34
2240,G00002224,G00002240,1,1,AVE J,NA,AVE J,9701,9721,9702,9722,988,988,AVE J
2241,G00002225,G00002241,1,1,ROGERS AVE,NA,ROGERS AVE,559,565,560,578,933,933,ROGERS AVE
2242,G00002226,G00002242,1,1,10 AVE,NA,10 AVE,7701,7723,7702,7724,1071,1071,10 AVE
2243,G00002227,G00002243,1,1,SMITH,NA,SMITH,37,55,34,52,21,21,SMITH
2244,G00002228,G00002244,1,1,SHORE BLVD,NA,SHORE BLVD,NA,NA,1300,1340,1034,1034,SHORE BLVD
2245,G00002229,G00002245,1,1,WOODBINE,NA,WOODBINE,47,95,48,96,889,891,WOODBINE
2246,G00002230,G00002246,1,1,HENRY,NA,HENRY,73,91,70,88,3,3,HENRY
2247,G00002231,G00002247,1,1,E 45,NA,E 45,795,885,794,886,995,995,E 45
2248,G00002232,G00002248,1,1,E 87,NA,E 87,601,677,602,678,990,990,E 87
2249,G00002233,G00002249,1,1,BATCHELDER,NA,BATCHELDER,NA,NA,NA,NA,1005,1005,BATCHELDER
2250,G00002234,G00002250,1,1,38,NA,38,1001,1097,1000,1096,1091,1091,38
2251,G00002235,G00002251,1,1,PULASKI,NA,PULASKI,283,353,284,356,515,515,PULASKI
2252,G00002236,G00002252,1,1,VERMONT,NA,VERMONT,213,259,214,258,758,758,VERMONT
2253,G00002237,G00002253,1,1,FRIEL PL,NA,FRIEL PL,813,829,802,826,926,926,FRIEL PL
2254,G00002238,G00002254,1,1,HIGHLAND BLVD,NA,HIGHLAND BLVD,NA,NA,NA,NA,913,763,HIGHLAND BLVD
2255,G00002239,G00002255,1,1,HAMPTON PL,NA,HAMPTON PL,29,49,28,50,661,661,HAMPTON PL
2256,G00002240,G00002256,1,1,39,NA,39,NA,NA,NA,NA,1064,1064,39
2257,G00002241,G00002257,1,1,86,NA,86,NA,NA,NA,NA,1049,1049,86
2258,G00002242,G00002258,1,1,CARLTON AVE,NA,CARLTON AVE,201,269,200,272,468,468,CARLTON AVE
2259,G00002243,G00002259,1,1,E 34,NA,E 34,497,535,498,534,992,992,E 34
2260,G00002244,G00002260,1,1,BROADWAY,NA,BROADWAY,1211,1217,1218,1222,823,683,BROADWAY
2261,G00002245,G00002261,1,1,OCEAN CT,NA,OCEAN CT,65,89,66,90,1037,1037,OCEAN CT
2262,G00002246,G00002262,1,1,59,NA,59,701,773,702,774,1094,1094,59
2263,G00002247,G00002263,1,1,GARVEY BLVD,NA,SUMNER AVE,295,311,290,306,592,591,SUMNER AVE
2264,G00002248,G00002264,1,1,VERMONT,NA,VERMONT,261,307,260,308,758,758,VERMONT
2265,G00002249,G00002265,1,1,CLARKSON AVE,NA,CLARKSON AVE,NA,NA,NA,NA,950,952,CLARKSON AVE
2266,G00002250,G00002266,1,1,GREENE AVE,NA,GREENE AVE,1319,1375,1354,1396,858,858,GREENE AVE
2267,G00002251,G00002267,1,1,3 AVE,NA,3 AVE,9601,9611,9602,9612,1081,1081,3 AVE
2268,G00002252,G00002268,1,1,PROSPECT AVE,NA,PROSPECT AVE,327,347,326,344,554,552,PROSPECT AVE
2269,G00002253,G00002269,1,1,2,NA,2,363,417,370,426,536,537,2
2270,G00002254,G00002270,1,1,RALPH AVE,NA,RALPH AVE,941,957,960,968,990,990,RALPH AVE
2271,G00002255,G00002271,1,1,BRG,NA,BRG,375,419,374,416,227,40,BRG
2272,G00002256,G00002272,1,1,SEA VIEW AVE,NA,SEA VIEW AVE,NA,NA,NA,NA,988,988,SEA VIEW AVE
2273,G00002257,G00002273,1,1,DREW,NA,DREW,447,473,448,474,976,976,DREW
2274,G00002258,G00002274,1,1,FARRAGUT RD,NA,FARRAGUT RD,NA,NA,NA,NA,995,995,FARRAGUT RD
2275,G00002259,G00002275,1,1,FLATBUSH AVE,NA,FLATBUSH AVE,661,683,660,688,930,931,FLATBUSH AVE
2276,G00002260,G00002276,1,1,SHORE RD,NA,SHORE RD,9201,9261,NA,NA,1082,1082,SHORE RD
2277,G00002261,G00002277,1,1,KINGSHIGWY,NA,KINGSHIGWY,1601,1615,1608,1622,1007,1007,KINGSHIGWY
2278,G00002262,G00002278,1,1,KNICKERBOCKER AVE,NA,KNICKERBOCKER AVE,637,657,636,656,883,884,KNICKERBOCKER AVE
2279,G00002263,G00002279,1,1,BERRIMAN,NA,BERRIMAN,231,273,232,278,979,784,BERRIMAN
2280,G00002264,G00002280,1,1,BAY PKWY,NA,22 AVE,6101,6111,NA,NA,1030,1058,22 AVE
2281,G00002265,G00002281,1,0,PAULDING,NA,PAULDING,NA,NA,NA,NA,428,428,PAULDING
2282,G00002266,G00002282,1,1,SURF AVE,NA,SURF AVE,1302,1400,1301,1399,1041,1047,SURF AVE
2283,G00002267,G00002283,1,1,58,NA,58,1601,1693,1602,1694,1060,1059,58
2284,G00002268,G00002284,1,1,50,NA,50,1701,1721,1702,1720,1061,1061,50
2285,G00002269,G00002285,1,1,9 AVE,NA,9 AVE,4301,4323,4302,4324,1090,138,9 AVE
2286,G00002270,G00002286,1,1,ARLINGTON AVE,NA,ARLINGTON AVE,331,361,336,362,772,775,ARLINGTON AVE
2287,G00002271,G00002287,1,1,DEBEVOISE,NA,DEBEVOISE,1,19,2,20,359,359,DEBEVOISE
2288,G00002272,G00002288,1,1,SHEFFIELD AVE,NA,SHEFFIELD AVE,177,221,178,214,756,756,SHEFFIELD AVE
2289,G00002273,G00002289,1,1,BROADWAY,NA,BROADWAY,1289,1311,1306,1316,825,689,BROADWAY
2290,G00002274,G00002290,1,1,ELMWOOD AVE,NA,ELMWOOD AVE,NA,NA,NA,NA,1029,1029,ELMWOOD AVE
2291,G00002275,G00002291,1,1,62,NA,62,2001,2089,2002,2090,1058,1058,62
2292,G00002276,G00002292,1,1,AVE J,NA,AVE J,2801,2821,2802,2822,1008,1008,AVE J
2293,G00002277,G00002293,1,1,WORTMAN AVE,NA,WORTMAN AVE,NA,NA,NA,NA,982,982,WORTMAN AVE
2294,G00002278,G00002294,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,197,213,204,220,313,318,MANHATTAN AVE
2295,G00002279,G00002295,1,1,BAY RIDGE PKWY,75,BAY RIDGE PKWY,101,157,102,158,1100,1099,BAY RIDGE PKWY
2296,G00002280,G00002296,1,1,LEGION,NA,LEGION,181,235,178,236,959,959,LEGION
2297,G00002281,G00002297,1,1,CARROLL BRG,NA,CARROLL BRG,NA,NA,NA,NA,NA,NA,CARROLL BRG
2298,G00002282,G00002298,1,1,NEW YORK AVE,NA,NEW YORK AVE,227,247,232,256,660,659,NEW YORK AVE
2299,G00002283,G00002299,1,1,HUMBOLDT,NA,HUMBOLDT,579,597,602,620,403,402,HUMBOLDT
2300,G00002284,G00002300,1,1,8 AVE,NA,8 AVE,4001,4023,4000,4024,138,138,8 AVE
2301,G00002285,G00002301,1,1,CLARKSON AVE,NA,CLARKSON AVE,NA,NA,NA,NA,956,957,CLARKSON AVE
2302,G00002286,G00002302,1,1,FORREST,NA,FORREST,1,31,2,30,816,816,FORREST
2303,G00002287,G00002303,1,0,WEST DR,NA,WEST DR,NA,NA,NA,NA,NA,NA,WEST DR
2304,G00002288,G00002304,1,1,BAY PKWY,NA,22 AVE,NA,NA,8502,8512,1051,1052,22 AVE
2305,G00002289,G00002305,1,1,ORIENTAL,NA,ORIENTAL,NA,NA,702,798,1034,1034,ORIENTAL
2306,G00002290,G00002306,1,1,RYDER,NA,RYDER,NA,NA,NA,NA,1001,1001,RYDER
2307,G00002291,G00002307,1,1,W 32,NA,W 32,2901,2971,2902,2972,1045,1045,W 32
2308,G00002292,G00002308,1,1,AVE N,NA,AVE N,801,821,802,822,1030,1030,AVE N
2309,G00002293,G00002309,1,1,5 AVE,NA,5 AVE,279,297,286,304,536,536,5 AVE
2310,G00002294,G00002310,1,1,E 15,NA,E 15,1901,1985,1902,1982,1006,1006,E 15
2311,G00002295,G00002311,1,1,DE KALB AVE,NA,DE KALB AVE,NA,NA,NA,NA,830,829,DE KALB AVE
2312,G00002296,G00002312,1,1,CLINTON,NA,CLINTON,87,107,98,122,12,7,CLINTON
2313,G00002297,G00002313,1,1,W PROSPECT,NA,W PROSPECT,NA,NA,170,177,NA,572,W PROSPECT
2314,G00002298,G00002314,1,1,FULTON,NA,FULTON,3285,3307,3286,3314,969,972,FULTON
2315,G00002299,G00002315,1,1,AVE Y,NA,AVE Y,NA,NA,NA,NA,1004,1004,AVE Y
2316,G00002300,G00002316,1,1,AVE W,NA,AVE W,1701,1723,1702,1724,1407,1407,AVE W
2317,G00002301,G00002317,1,1,STUYVESANT AVE,NA,STUYVESANT AVE,75,89,78,92,520,519,STUYVESANT AVE
2318,G00002302,G00002318,1,1,E 35,NA,E 35,NA,NA,1114,1184,1008,1008,E 35
2319,G00002303,G00002319,1,1,HIGHLAWN AVE,NA,HIGHLAWN AVE,241,267,242,268,1031,1031,HIGHLAWN AVE
2320,G00002304,G00002320,1,1,HIGHLAND BLVD,NA,HIGHLAND BLVD,NA,NA,84,106,763,763,HIGHLAND BLVD
2321,G00002305,G00002321,1,1,E 43,NA,E 43,107,175,108,176,945,945,E 43
2322,G00002306,G00002322,1,1,MACON,NA,MACON,831,899,832,898,698,698,MACON
2323,G00002307,G00002323,1,1,LINDEN,NA,LINDEN,159,199,158,192,886,886,LINDEN
2324,G00002308,G00002324,1,1,ORIENTAL,NA,ORIENTAL,NA,NA,902,998,1034,1034,ORIENTAL
2325,G00002309,G00002325,1,1,BRIGHTON 3 CT,NA,BRIGHTON 3 CT,NA,NA,NA,NA,1035,1035,BRIGHTON 3 CT
2326,G00002310,G00002326,1,1,CARROLL,NA,CARROLL,NA,NA,NA,NA,216,216,CARROLL
2327,G00002311,G00002327,1,1,E 48,NA,E 48,NA,NA,NA,NA,999,999,E 48
2328,G00002312,G00002328,1,1,WILLOUGHBY AVE,NA,WILLOUGHBY AVE,373,391,374,392,485,486,WILLOUGHBY AVE
2329,G00002313,G00002329,1,1,AVE J,NA,AVE J,10201,10221,10202,10222,988,988,AVE J
2330,G00002314,G00002330,1,1,CHURCH AVE,NA,CHURCH AVE,733,743,732,742,926,1021,CHURCH AVE
2331,G00002315,G00002331,1,1,FLATLAND AVE,NA,FLATLAND AVE,NA,NA,NA,NA,982,982,FLATLAND AVE
2332,G00002316,G00002332,1,1,SHORE RD,NA,SHORE RD,9413,9437,NA,NA,1082,1082,SHORE RD
2333,G00002317,G00002333,1,1,NORMAN,NA,NORMAN,59,75,54,70,380,386,NORMAN
2334,G00002318,G00002334,1,1,CORTELYOU RD,NA,CORTELYOU RD,NA,NA,NA,NA,992,992,CORTELYOU RD
2335,G00002319,G00002335,1,1,W 4,NA,W 4,1901,1995,1902,1996,1031,1031,W 4
2336,G00002320,G00002336,1,1,10 AVE,NA,10 AVE,4401,4423,4402,4424,1090,1090,10 AVE
2337,G00002321,G00002337,1,1,GATES AVE,NA,GATES AVE,NA,NA,NA,NA,NA,NA,GATES AVE
2338,G00002322,G00002338,1,1,PROSPECT PL,NA,PROSPECT PL,1379,1467,1384,1466,647,647,PROSPECT PL
2339,G00002323,G00002339,1,1,19,NA,19,643,657,638,650,920,919,19
2340,G00002324,G00002340,1,1,20,NA,20,493,557,NA,NA,576,NA,20
2341,G00002325,G00002341,1,1,HUMBOLDT,NA,HUMBOLDT,309,323,314,324,314,316,HUMBOLDT
2342,G00002326,G00002342,1,1,CORTELYOU RD,NA,CORTELYOU RD,2207,2225,2208,2226,1015,1015,CORTELYOU RD
2343,G00002327,G00002343,1,1,FLATBUSH AVE,NA,FLATBUSH AVE,399,413,NA,NA,191,191,FLATBUSH AVE
2344,G00002328,G00002344,1,1,ORIENTAL,NA,ORIENTAL,NA,NA,1502,1598,1034,1034,ORIENTAL
2345,G00002329,G00002345,1,1,E 53,NA,E 53,NA,NA,NA,NA,1001,1001,E 53
2346,G00002330,G00002346,1,1,BEDFORD AVE,NA,BEDFORD AVE,167,183,164,180,288,288,BEDFORD AVE
2347,G00002331,G00002347,1,1,GREENE AVE,NA,GREENE AVE,665,725,666,724,587,587,GREENE AVE
2348,G00002332,G00002348,1,1,WASHINGTON AVE,NA,WASHINGTON AVE,NA,NA,NA,NA,195,195,WASHINGTON AVE
2349,G00002333,G00002349,1,1,BROOME,NA,BROOME,NA,NA,NA,NA,1005,1005,BROOME
2350,G00002334,G00002350,1,1,20 AVE,BAY 24,20 AVE,7101,7123,7102,7124,1057,1057,20 AVE
2351,G00002335,G00002351,1,1,EAST PKWY,NA,EAST PKWY,NA,NA,1932,1950,721,721,EAST PKWY
2352,G00002336,G00002352,1,1,99,NA,99,101,171,100,168,1081,1081,99
2353,G00002337,G00002353,1,1,AVE P,NA,AVE P,1901,1919,1902,1920,1007,1007,AVE P
2354,G00002338,G00002354,1,1,CANARSIE RD,NA,CANARSIE RD,NA,NA,NA,NA,988,988,CANARSIE RD
2355,G00002339,G00002355,1,1,7 AVE,NA,7 AVE,249,267,254,270,562,562,7 AVE
2356,G00002340,G00002356,1,1,FLUSHING AVE,NA,FLUSHING AVE,967,977,938,944,424,838,FLUSHING AVE
2357,G00002341,G00002357,1,1,BARBEY,NA,BARBEY,983,1041,984,1042,984,984,BARBEY
2358,G00002342,G00002358,1,1,LINCOLN AVE,NA,LINCOLN AVE,15,97,34,94,967,967,LINCOLN AVE
2359,G00002343,G00002359,1,1,STANLEY AVE,NA,STANLEY AVE,49,71,50,72,986,986,STANLEY AVE
2360,G00002344,G00002360,1,1,4 AVE,NA,4 AVE,NA,NA,104,124,173,207,4 AVE
2361,G00002345,G00002361,1,1,GLENWOOD RD,AVE G,AVE G,NA,NA,NA,NA,987,987,AVE G
2362,G00002346,G00002362,1,1,DEAN,NA,DEAN,2387,2441,2388,2442,643,643,DEAN
2363,G00002347,G00002363,1,1,HURON,NA,HURON,231,271,228,272,375,375,HURON
2364,G00002348,G00002364,1,1,11 AVE,NA,11 AVE,6401,6423,6402,6424,1068,1068,11 AVE
2365,G00002349,G00002365,1,1,10 AVE,NA,10 AVE,6301,6311,6302,6324,1068,1068,10 AVE
2366,G00002350,G00002366,1,1,SHERIDAN AVE,NA,SHERIDAN AVE,NA,NA,NA,NA,970,971,SHERIDAN AVE
2367,G00002351,G00002367,1,1,WEBSTER AVE,NA,WEBSTER AVE,NA,NA,NA,NA,1026,1026,WEBSTER AVE
2368,G00002352,G00002368,1,1,CENTRAL AVE,NA,CENTRAL AVE,57,65,60,70,837,838,CENTRAL AVE
2369,G00002353,G00002369,1,1,AMHERST,NA,AMHERST,101,199,100,198,1034,1034,AMHERST
2370,G00002354,G00002370,1,1,86,NA,86,NA,NA,NA,NA,1050,1050,86
2371,G00002355,G00002371,1,1,NOSTRAND AVE,NA,NOSTRAND AVE,NA,NA,1398,1420,936,935,NOSTRAND AVE
2372,G00002356,G00002372,1,1,HAVEMEYER,NA,HAVEMEYER,65,79,50,70,296,293,HAVEMEYER
2373,G00002357,G00002373,1,1,DOWNING,NA,DOWNING,27,93,28,90,103,103,DOWNING
2374,G00002358,G00002374,1,1,AVE Y,NA,AVE Y,2401,2413,2402,2414,1004,1004,AVE Y
2375,G00002359,G00002375,1,1,BROADWAY,NA,BROADWAY,1863,1867,1858,1874,917,717,BROADWAY
2376,G00002360,G00002376,1,1,WINDSOR PL,NA,WINDSOR PL,65,129,60,128,573,574,WINDSOR PL
2377,G00002361,G00002377,1,1,ORIENTAL,NA,ORIENTAL,501,599,502,598,1034,1034,ORIENTAL
2378,G00002362,G00002378,1,1,SHORE BLVD,NA,SHORE BLVD,NA,NA,200,240,1034,1034,SHORE BLVD
2379,G00002363,G00002379,1,1,6 AVE,NA,6 AVE,117,133,116,126,176,174,6 AVE
2380,G00002364,G00002380,1,1,FULTON,NA,FULTON,641,671,580,602,235,234,FULTON
2381,G00002365,G00002381,1,1,E 48,NA,E 48,NA,NA,NA,NA,995,995,E 48
2382,G00002366,G00002382,1,1,DEAN,NA,DEAN,145,199,136,190,29,29,DEAN
2383,G00002367,G00002383,1,1,HERKIMER,NA,HERKIMER,1177,1203,1182,1204,711,711,HERKIMER
2384,G00002368,G00002384,1,1,E 85,NA,E 85,901,985,902,986,990,990,E 85
2385,G00002369,G00002385,1,1,FOUNTAIN AVE,NA,FOUNTAIN AVE,115,157,120,156,975,974,FOUNTAIN AVE
2386,G00002370,G00002386,1,1,WILLIAMS AVE,NA,WILLIAMS AVE,361,411,360,416,805,805,WILLIAMS AVE
2387,G00002371,G00002387,1,1,SPENCER PL,NA,SPENCER PL,1,33,2,36,114,114,SPENCER PL
2388,G00002372,G00002388,1,1,KEAP,NA,KEAP,461,499,452,484,307,308,KEAP
2389,G00002373,G00002389,1,1,18 AVE,NA,18 AVE,8601,8683,8602,8682,1055,1056,18 AVE
2390,G00002374,G00002390,1,1,HOPKINS,NA,HOPKINS,73,133,76,142,502,501,HOPKINS
2391,G00002375,G00002391,1,1,UNION,NA,UNION,123,163,110,154,72,70,UNION
2392,G00002376,G00002392,1,1,SNYDER AVE,NA,SNYDER AVE,5601,5615,5602,5614,990,990,SNYDER AVE
2393,G00002377,G00002393,1,1,GEORGIA AVE,NA,GEORGIA AVE,639,705,644,710,803,803,GEORGIA AVE
2394,G00002378,G00002394,1,1,BLAKE AVE,NA,BLAKE AVE,75,97,76,98,726,959,BLAKE AVE
2395,G00002379,G00002395,1,1,GREENPOINT AVE,NA,GREENPOINT AVE,NA,NA,NA,NA,376,376,GREENPOINT AVE
2396,G00002380,G00002396,1,1,E 19,NA,E 19,NA,NA,NA,NA,1407,1407,E 19
2397,G00002381,G00002397,1,1,FULTON,NA,FULTON,NA,NA,644,662,237,237,FULTON
2398,G00002382,G00002398,1,1,14 AVE,NA,14 AVE,NA,NA,7602,7622,1074,1072,14 AVE
2399,G00002383,G00002399,1,1,W PROSPECT,NA,W PROSPECT,NA,NA,18,27,NA,569,W PROSPECT
2400,G00002384,G00002400,1,1,45,NA,45,1101,1185,1100,1184,1410,1410,45
2401,G00002385,G00002401,1,1,REEVE PL,NA,REEVE PL,1,29,2,26,920,920,REEVE PL
2402,G00002386,G00002402,1,1,DAHILL RD,WEST,WEST,1305,1319,NA,NA,1030,1030,WEST
2403,G00002387,G00002403,1,1,63,NA,63,1813,1869,1826,1882,1058,1058,63
2404,G00002388,G00002404,1,1,E 24,NA,MANSFIELD PL,1527,1569,1520,1578,1007,1007,MANSFIELD PL
2405,G00002389,G00002405,1,1,SUMPTER,NA,SUMPTER,219,275,202,258,714,714,SUMPTER
2406,G00002390,G00002406,1,1,AVE D,NA,AVE D,2601,2623,2600,2620,1012,1012,AVE D
2407,G00002391,G00002407,1,1,11 AVE,NA,11 AVE,NA,NA,1604,1624,573,573,11 AVE
2408,G00002392,G00002408,1,1,42,NA,42,NA,NA,NA,NA,141,141,42
2409,G00002393,G00002409,1,1,RICHARD,NA,RICHARD,95,109,100,116,245,245,RICHARD
2410,G00002394,G00002410,1,1,BURNETT,NA,BURNETT,NA,NA,NA,NA,1001,1001,BURNETT
2411,G00002395,G00002411,1,1,CALYER,NA,CALYER,235,253,224,238,376,377,CALYER
2412,G00002396,G00002412,1,1,ROGERS AVE,NA,ROGERS AVE,407,425,408,428,681,682,ROGERS AVE
2413,G00002397,G00002413,1,1,NEW YORK AVE,NA,NEW YORK AVE,NA,NA,NA,NA,660,659,NEW YORK AVE
2414,G00002398,G00002414,1,1,FLATBUSH AVE,NA,FLATBUSH AVE,1335,1339,NA,NA,1012,1011,FLATBUSH AVE
2415,G00002399,G00002415,1,1,N 5,NA,N 5,1,27,2,24,275,275,N 5
2416,G00002400,G00002416,1,1,FORD LN,NA,FORD LN,NA,NA,NA,NA,1005,1005,FORD LN
2417,G00002401,G00002417,1,1,AVE T,NA,AVE T,NA,NA,NA,NA,1001,1001,AVE T
2418,G00002402,G00002418,1,1,E 89,NA,E 89,NA,NA,NA,NA,990,990,E 89
2419,G00002403,G00002419,1,1,E 52,NA,E 52,NA,NA,NA,NA,1001,1001,E 52
2420,G00002404,G00002420,1,1,LOCUST AVE,NA,LOCUST AVE,NA,NA,NA,NA,1009,1009,LOCUST AVE
2421,G00002405,G00002421,1,1,CROPSEY AVE,NA,CROPSEY AVE,1731,1751,1724,1746,1056,1056,CROPSEY AVE
2422,G00002406,G00002422,1,1,OCEAN AVE,NA,OCEAN AVE,735,781,728,770,1018,1018,OCEAN AVE
2423,G00002407,G00002423,1,1,CHURCH AVE,NA,CHURCH AVE,4601,4623,4602,4624,951,991,CHURCH AVE
2424,G00002408,G00002424,1,1,E 84,NA,E 84,601,671,602,672,990,990,E 84
2426,G00002409,G00002426,1,1,LAFAYETTE AVE,NA,LAFAYETTE AVE,251,271,238,258,99,99,LAFAYETTE AVE
2427,G00002410,G00002427,1,1,SENATOR,NA,SENATOR,301,347,300,370,1101,1101,SENATOR
2428,G00002411,G00002428,1,1,4 AVE,NA,4 AVE,NA,NA,238,260,534,216,4 AVE
2429,G00002412,G00002429,1,1,FORT HAMILTN PKWY,NA,FORT HAMILTON AVE,4701,4721,4702,4724,1067,1089,FORT HAMILTON AVE
2430,G00002413,G00002430,1,1,KENT AVE,NA,KENT AVE,763,773,770,784,87,86,KENT AVE
