ED,JoinId,Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source,flag
9,G00000022,LEROY,NA,LEROY,NA,42,68,41,67,288,geo,IN
12,G00000026,LENOX AVE,NA,LENOX AVE,NA,NA,NA,NA,NA,292,geo,IN
12,G00000028,3 AVE,NA,3 AVE,NA,NA,NA,NA,NA,293,geo,IN
14,G00000029,GRAND,NA,GRAND,NA,164,172,165,173,294,geo,IN
15,G00000035,E 13,NA,E 13,NA,41,63,38,62,299,geo,IN
16,G00000040,W 25,NA,W 25,NA,238,304,239,303,304,geo,IN
18,G00000045,BROADWAY ALY,NA,BROADWAY ALY,NA,NA,NA,NA,NA,309,geo,IN
16,G00000046,W 34,NA,W 34,NA,102,120,103,119,310,geo,IN
12,G00000047,AMSTERDAM AVE,10 AVE,AMSTERDAM AVE,NA,NA,NA,NA,NA,311,geo,IN
17,G00000048,LAFAYETTE CT,NA,LAFAYETTE CT,NA,NA,NA,NA,NA,312,geo,IN
15,G00000050,MULBERRY,NA,MULBERRY,NA,285,309,292,308,314,geo,IN
10,G00000052,ELDRIDGE,NA,ELDRIDGE,NA,121,145,124,152,316,geo,IN
19,G00000053,E 46,NA,E 46,NA,161,187,162,188,317,geo,IN
9,G00000054,BEDFORD,NA,BEDFORD,NA,23,37,24,34,318,geo,IN
12,G00000056,W 115,NA,W 115,NA,NA,NA,NA,NA,320,geo,IN
12,G00000057,3 AVE,NA,3 AVE,NA,NA,NA,NA,NA,321,geo,IN
16,G00000059,W 30,NA,W 30,NA,56,118,53,113,323,geo,IN
1,G00000064,STATE,NA,STATE,NA,NA,NA,1,14,328,geo,EO
2,G00000068,FULTON,NA,FULTON,NA,20,24,19,25,332,geo,IN
14,G00000070,HOWARD,NA,HOWARD,NA,1,9,2,10,334,geo,IN
19,G00000073,3 AVE,NA,3 AVE,NA,NA,NA,NA,NA,337,geo,IN
18,G00000074,UNION W SQ,NA,UNION W SQ,NA,1,15,NA,NA,338,geo,IN
17,G00000075,2 AVE,NA,2 AVE,NA,69,85,68,84,339,geo,IN
16,G00000076,W 30,NA,W 30,NA,292,352,293,353,340,geo,IN
15,G00000078,W 4,NA,W 4,NA,327,339,328,340,342,geo,IN
19,G00000079,E 72,NA,E 72,NA,NA,NA,NA,NA,343,geo,IN
12,G00000080,SAINT NICHOLAS AVE,11 AVE,SAINT NICHOLAS AVE,NA,NA,NA,NA,NA,344,geo,IN
18,G00000081,1 AVE,NA,1 AVE,NA,387,401,384,402,345,geo,IN
9,G00000082,W 10,AMOS,W 10,NA,52,84,53,85,346,geo,IN
12,G00000084,5 AVE,NA,5 AVE,NA,NA,NA,NA,NA,348,geo,IN
9,G00000085,W 4,NA,W 4,NA,119,131,120,126,349,geo,IN
19,G00000087,W 49,NA,W 49,NA,2,66,1,65,351,geo,IN
9,G00000088,BETHUNE,NA,BETHUNE,NA,1,25,2,26,352,geo,IN
12,G00000091,W 171,NA,W 171,NA,NA,NA,NA,NA,355,geo,IN
12,G00000094,LENOX AVE,NA,LENOX AVE,NA,NA,NA,NA,NA,358,geo,IN
