Name,Full_Name,Name1850,AltName,Left_Low,Left_High,Right_Low,Right_High,Ward_Right,Ward_Left,ObjectID,JoinId
NA,NA,NA,10,NA,NA,NA,NA,580,NA,BERGEN,10
NA,NA,NA,9,NA,NA,NA,NA,581,NA,MONROE,9
NA,NA,NA,7,NA,NA,NA,NA,583,NA,THROOP AVE,7
NA,NA,NA,9,NA,NA,NA,NA,584,NA,FULTON,9
NA,NA,NA,NA,NA,NA,NA,NA,594,NA,5 AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,596,NA,LEONARD,NA
NA,NA,NA,11,NA,NA,NA,NA,597,NA,LAFAYETTE AVE,11
NA,NA,NA,9,NA,NA,NA,NA,599,NA,GRAND AVE,9
NA,NA,NA,8,NA,NA,NA,NA,602,NA,41,8
NA,NA,NA,8,NA,NA,NA,NA,604,NA,46,8
NA,NA,NA,6,NA,NA,NA,NA,609,NA,CT,10
NA,NA,NA,6,NA,NA,NA,NA,615,NA,DE GRAW,6
NA,NA,NA,9,NA,NA,NA,NA,617,NA,SAINT MARKS AVE,9
NA,NA,NA,9,NA,NA,NA,NA,628,NA,PATCHEN AVE,9
NA,NA,NA,8,NA,NA,NA,NA,630,NA,8 AVE,8
NA,NA,NA,4,NA,NA,NA,NA,631,NA,SAND,2
NA,NA,NA,10,NA,NA,NA,NA,632,NA,SMITH,10
NA,NA,NA,9,NA,NA,NA,NA,635,NA,UNDERHILL AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,638,NA,GRAND,NA
NA,NA,NA,9,NA,NA,NA,NA,645,NA,SUMPTER,9
NA,NA,NA,NA,NA,NA,NA,NA,647,NA,AINSLIE,NA
NA,NA,NA,10,NA,NA,NA,NA,650,NA,SMITH,10
NA,NA,NA,8,NA,NA,NA,NA,652,NA,5,8
NA,NA,NA,9,NA,NA,NA,NA,665,NA,HART,9
NA,NA,NA,8,NA,NA,NA,NA,666,NA,FLATBUSH AVE,8
NA,NA,NA,6,NA,NA,NA,NA,674,NA,VERONA,6
NA,NA,NA,7,NA,NA,NA,NA,675,NA,DE KALB AVE,7
NA,NA,NA,8,NA,NA,NA,NA,677,NA,5 AVE,8
NA,NA,NA,4,NA,NA,NA,NA,689,NA,JOHNSON,4
NA,NA,NA,6,NA,NA,NA,NA,692,NA,CONGRESS,6
NA,NA,NA,NA,NA,NA,NA,NA,693,NA,JOHNSON AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,701,NA,LEWIS AVE,9
NA,NA,NA,6,NA,NA,NA,NA,703,NA,CT,10
NA,NA,NA,9,NA,NA,NA,NA,704,NA,BAINBRIDGE,9
NA,NA,NA,9,NA,NA,NA,NA,707,NA,LEWIS AVE,9
NA,NA,NA,9,NA,NA,NA,NA,712,NA,PACIFIC,9
NA,NA,NA,9,NA,NA,NA,NA,716,NA,SARATOGA AVE,9
NA,NA,NA,9,NA,NA,NA,NA,717,NA,THROOP AVE,9
NA,NA,NA,6,NA,NA,NA,NA,719,NA,IMLAY,6
NA,NA,NA,10,NA,NA,NA,NA,721,NA,PRESIDENT,10
NA,NA,NA,9,NA,NA,NA,NA,722,NA,CARLTON AVE,9
NA,NA,NA,7,NA,NA,NA,NA,728,NA,DIVISION AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,730,NA,DRIGGS AVE,NA
NA,NA,NA,6,NA,NA,NA,NA,735,NA,HICKS,6
NA,NA,NA,11,NA,NA,NA,NA,744,NA,HANSON PL,11
NA,NA,NA,7,NA,NA,NA,NA,746,NA,FRANKLIN AVE,7
NA,NA,NA,NA,NA,NA,NA,NA,748,NA,LIBERTY AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,756,NA,NEW YORK AVE,9
NA,NA,NA,1,NA,NA,NA,NA,758,NA,EVERITT,1
NA,NA,NA,7,NA,NA,NA,NA,762,NA,LEE AVE,7
NA,NA,NA,NA,NA,NA,NA,NA,764,NA,MONTROSE AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,772,NA,DEAN,9
NA,NA,NA,8,NA,NA,NA,NA,778,NA,6 AVE,8
NA,NA,NA,NA,NA,NA,NA,NA,785,NA,BROADWAY,NA
NA,NA,NA,9,NA,NA,NA,NA,794,NA,SAINT JOHNS PL,9
NA,NA,NA,7,NA,NA,NA,NA,795,NA,SKILLMAN,7
NA,NA,NA,7,NA,NA,NA,NA,796,NA,WALWORTH,7
NA,NA,NA,8,NA,NA,NA,NA,797,NA,22,8
NA,NA,NA,9,NA,NA,NA,NA,801,NA,DEAN,9
NA,NA,NA,11,NA,NA,NA,NA,810,NA,ATLANTIC AVE,11
NA,NA,NA,9,NA,NA,NA,NA,813,NA,HANCOCK,9
NA,NA,NA,NA,NA,NA,NA,NA,819,NA,AINSLIE,NA
NA,NA,NA,NA,NA,NA,NA,NA,824,NA,KENT AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,828,NA,GRAHAM AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,830,NA,HOWARD AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,836,NA,UNION AVE,NA
NA,NA,NA,6,NA,NA,NA,NA,840,NA,RAPELYE,6
NA,NA,NA,8,NA,NA,NA,NA,849,NA,4 AVE,8
NA,NA,NA,6,NA,NA,NA,NA,852,NA,HAMILTON AVE,6
NA,NA,NA,NA,NA,NA,NA,NA,853,NA,JACKSON,NA
NA,NA,NA,8,NA,NA,NA,NA,854,NA,6 AVE,8
NA,NA,NA,2,NA,NA,NA,NA,866,NA,MAIN,2
NA,NA,NA,9,NA,NA,NA,NA,867,NA,MARCY AVE,9
NA,NA,NA,11,NA,NA,NA,NA,877,NA,CARLTON AVE,11
NA,NA,NA,9,NA,NA,NA,NA,878,NA,KINGSTON AVE,9
NA,NA,NA,8,NA,NA,NA,NA,886,NA,12,8
NA,NA,NA,NA,NA,NA,NA,NA,887,NA,DEVOE,NA
NA,NA,NA,9,NA,NA,NA,NA,888,NA,LINCOLN PL,9
NA,NA,NA,9,NA,NA,NA,NA,891,NA,BERGEN,9
NA,NA,NA,10,NA,NA,NA,NA,900,NA,DEAN,10
NA,NA,NA,8,NA,NA,NA,NA,901,NA,56,8
NA,NA,NA,11,NA,NA,NA,NA,907,NA,PARK AVE,11
NA,NA,NA,7,NA,NA,NA,NA,936,NA,SPENCER,7
NA,NA,NA,8,NA,NA,NA,NA,942,NA,8 AVE,8
NA,NA,NA,8,NA,NA,NA,NA,948,NA,8 AVE,8
NA,NA,NA,10,NA,NA,NA,NA,960,NA,3 AVE,10
NA,NA,NA,NA,NA,NA,NA,NA,961,NA,S 6,NA
NA,NA,NA,NA,NA,NA,NA,NA,965,NA,MANHATTAN AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,968,NA,KOSCIUSZKO,9
NA,NA,NA,7,NA,NA,NA,NA,979,NA,CLIFTON PL,7
NA,NA,NA,NA,NA,NA,NA,NA,980,NA,MAUJER,NA
NA,NA,NA,9,NA,NA,NA,NA,990,NA,UNION,9
NA,NA,NA,9,NA,NA,NA,NA,995,NA,TOMPKINS AVE,9
NA,NA,NA,8,NA,NA,NA,NA,999,NA,5 AVE,8
NA,NA,NA,9,NA,NA,NA,NA,1002,NA,MARCY AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1004,NA,46,8
NA,NA,NA,7,NA,NA,NA,NA,1008,NA,CLIFTON PL,7
NA,NA,NA,9,NA,NA,NA,NA,1012,NA,BERGEN,9
NA,NA,NA,6,NA,NA,NA,NA,1020,NA,VERONA,6
NA,NA,NA,9,NA,NA,NA,NA,1027,NA,BERGEN,9
NA,NA,NA,7,NA,NA,NA,NA,1038,NA,BEDFORD AVE,7
NA,NA,NA,9,NA,NA,NA,NA,1044,NA,SAINT JOHNS PL,9
NA,NA,NA,3,NA,NA,NA,NA,1055,NA,HENRY,3
NA,NA,NA,9,NA,NA,NA,NA,1061,NA,BERGEN,9
NA,NA,NA,NA,NA,NA,NA,NA,1064,NA,WITHERS,NA
NA,NA,NA,1,NA,NA,NA,NA,1067,NA,ORANGE,1
NA,NA,NA,6,NA,NA,NA,NA,1070,NA,DE GRAW,6
NA,NA,NA,9,NA,NA,NA,NA,1077,NA,UTICA AVE,9
NA,NA,NA,7,NA,NA,NA,NA,1091,NA,RODNEY,7
NA,NA,NA,9,NA,NA,NA,NA,1092,NA,CROWN,9
NA,NA,NA,10,NA,NA,NA,NA,1094,NA,SCHERMERHORN,10
NA,NA,NA,9,NA,NA,NA,NA,1095,NA,SAINT MARKS AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1103,NA,PACIFIC,11
NA,NA,NA,9,NA,NA,NA,NA,1108,NA,PRESIDENT,9
NA,NA,NA,NA,NA,NA,NA,NA,1109,NA,KENT AVE,NA
NA,NA,NA,7,NA,NA,NA,NA,1112,NA,SKILLMAN,7
NA,NA,NA,11,NA,NA,NA,NA,1118,NA,CUMBERLAND,11
NA,NA,NA,9,NA,NA,NA,NA,1134,NA,DE KALB AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1143,NA,UNION AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,1145,NA,FULTON,9
NA,NA,NA,8,NA,NA,NA,NA,1150,NA,24,8
NA,NA,NA,NA,NA,NA,NA,NA,1153,NA,LORIMER,NA
NA,NA,NA,9,NA,NA,NA,NA,1161,NA,PUTNAM AVE,9
NA,HICKORY,NA,7,NA,NA,NA,NA,1169,NA,LEXINGTON AVE,7
NA,NA,NA,10,NA,NA,NA,NA,1173,NA,3 AVE,10
NA,NA,NA,9,NA,NA,NA,NA,1176,NA,MARCY AVE,9
NA,NA,NA,5,NA,NA,NA,NA,1181,NA,JOHN,5
NA,NA,NA,NA,NA,NA,NA,NA,1183,NA,ALABAMA AVE,NA
NA,NA,NA,8,NA,NA,NA,NA,1187,NA,7 AVE,8
NA,NA,NA,2,NA,NA,NA,NA,1199,NA,PLYMOUTH,2
NA,NA,NA,7,NA,NA,NA,NA,1200,NA,WHIPPLE,7
NA,NA,NA,9,NA,NA,NA,NA,1207,NA,FULTON,9
NA,NA,NA,NA,NA,NA,NA,NA,1208,NA,MAUJER,NA
NA,NA,NA,9,NA,NA,NA,NA,1210,NA,SARATOGA AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1211,NA,TROY AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1214,NA,TROY AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1215,NA,PROSPECT PL,9
NA,NA,NA,11,NA,NA,NA,NA,1220,NA,FULTON,11
NA,NA,NA,6,NA,NA,NA,NA,1222,NA,CLINTON,6
NA,NA,NA,11,NA,NA,NA,NA,1234,NA,FULTON,11
NA,NA,NA,5,NA,NA,NA,NA,1239,NA,HUDSON AVE,5
NA,NA,NA,9,NA,NA,NA,NA,1241,NA,FRANKLIN AVE,9
NA,NA,NA,7,NA,NA,NA,NA,1242,NA,MARCY AVE,7
NA,NA,NA,7,NA,NA,NA,NA,1243,NA,DIVISION AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,1246,NA,UNION,9
NA,NA,NA,7,NA,NA,NA,NA,1249,NA,PENN,7
NA,NA,NA,9,NA,NA,NA,NA,1266,NA,ALBANY AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1274,NA,19,8
NA,NA,NA,9,NA,NA,NA,NA,1275,NA,NOSTRAND AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1283,NA,5 AVE,8
NA,NA,NA,6,NA,NA,NA,NA,1285,NA,ATLANTIC AVE,3
NA,NA,NA,9,NA,NA,NA,NA,1288,NA,SCHNECTADY AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1294,NA,2 AVE,8
NA,PERRY AVE,NA,9,NA,NA,NA,NA,1296,NA,BEDFORD AVE,9
NA,NA,NA,10,NA,NA,NA,NA,1298,NA,SCHERMERHORN,10
NA,NA,NA,9,NA,NA,NA,NA,1299,NA,VANDERBILT AVE,9
NA,NA,NA,7,NA,NA,NA,NA,1301,NA,FLUSHING AVE,7
NA,NA,NA,11,NA,NA,NA,NA,1315,NA,FULTON,11
NA,NA,NA,9,NA,NA,NA,NA,1317,NA,SCHNECTADY AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1318,NA,AINSLIE,NA
NA,NA,NA,8,NA,NA,NA,NA,1321,NA,56,8
NA,NA,NA,9,NA,NA,NA,NA,1322,NA,LEWIS AVE,9
NA,PERRY AVE,NA,9,NA,NA,NA,NA,1326,NA,BEDFORD AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1331,NA,CARROLL,8
NA,NA,NA,NA,NA,NA,NA,NA,1341,NA,GRAHAM AVE,NA
NA,NA,NA,8,NA,NA,NA,NA,1343,NA,UNION,8
NA,NA,NA,9,NA,NA,NA,NA,1350,NA,TOMPKINS AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1351,NA,5 AVE,8
NA,NA,NA,3,NA,NA,NA,NA,1362,NA,PIERREPONT,3
NA,NA,NA,NA,NA,NA,NA,NA,1366,NA,GRAHAM AVE,NA
NA,NA,NA,NA,NA,NA,NA,NA,1368,NA,HUMBOLDT,NA
NA,NA,NA,NA,NA,NA,NA,NA,1378,NA,DUNHAM PL,NA
NA,NA,NA,9,NA,NA,NA,NA,1381,NA,BERGEN,9
NA,NA,NA,9,NA,NA,NA,NA,1383,NA,MADISON,9
NA,NA,NA,NA,NA,NA,NA,NA,1398,NA,HAVEMEYER,NA
NA,NA,NA,9,NA,NA,NA,NA,1408,NA,NA,9
NA,NA,NA,8,NA,NA,NA,NA,1409,NA,58,8
NA,NA,NA,9,NA,NA,NA,NA,1412,NA,HOWARD AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1415,NA,6 AVE,8
NA,NA,NA,7,NA,NA,NA,NA,1419,NA,GRAND AVE,7
NA,NA,NA,NA,NA,NA,NA,NA,1425,NA,FORT HAMILTN PKWY,NA
NA,NA,NA,9,NA,NA,NA,NA,1436,NA,NOSTRAND AVE,9
NA,NA,NA,10,NA,NA,NA,NA,1440,NA,HOYT,10
NA,NA,NA,7,NA,NA,NA,NA,1457,NA,WALTON,7
NA,NA,NA,9,NA,NA,NA,NA,1460,NA,KINGSTON AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1467,NA,PENNSYLVAN AVE,NA
NA,NA,NA,9,NA,NA,NA,NA,1470,NA,TROY AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1474,NA,KENT AVE,NA
NA,NA,NA,10,NA,NA,NA,NA,1481,NA,BOND,10
NA,NA,NA,9,NA,NA,NA,NA,1483,NA,PATCHEN AVE,9
NA,NA,NA,6,NA,NA,NA,NA,1486,NA,VAN BRUNT,6
NA,NA,NA,9,NA,NA,NA,NA,1492,NA,FRANKLIN AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1497,NA,PITKIN AVE,NA
NA,NA,NA,8,NA,NA,NA,NA,1498,NA,28,8
NA,NA,NA,8,NA,NA,NA,NA,1500,NA,4 AVE,8
NA,NA,NA,9,NA,NA,NA,NA,1502,NA,STERLING PL,9
NA,NA,NA,1,NA,NA,NA,NA,1509,NA,HICKS,3
NA,NA,NA,9,NA,NA,NA,NA,1520,NA,STUYVESANT AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1524,NA,RALPH AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1528,NA,JACKSON,NA
NA,NA,NA,9,NA,NA,NA,NA,1531,NA,MARION,9
NA,NA,NA,NA,NA,NA,NA,NA,1532,NA,ATLANTIC AVE,NA
NA,NA,NA,3,NA,NA,NA,NA,1535,NA,JORALEMON,3
NA,NA,NA,8,NA,NA,NA,NA,1538,NA,W PROSPECT,8
NA,NA,NA,10,NA,NA,NA,NA,1542,NA,SMITH,10
NA,NA,NA,8,NA,NA,NA,NA,1543,NA,57,8
NA,NA,NA,9,NA,NA,NA,NA,1550,NA,HART,9
NA,NA,NA,9,NA,NA,NA,NA,1552,NA,NOSTRAND AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1559,NA,7 AVE,8
NA,NA,NA,9,NA,NA,NA,NA,1561,NA,NEW YORK AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1571,NA,TOMPKINS AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1575,NA,UTICA AVE,9
NA,NA,NA,9,NA,NA,NA,NA,1577,NA,ROCHESTER AVE,9
NA,NA,NA,NA,NA,NA,NA,NA,1583,NA,WYONA,NA
NA,NA,NA,7,NA,NA,NA,NA,1584,NA,BROADWAY,NA
NA,NA,NA,8,NA,NA,NA,NA,1591,NA,2 AVE,8
NA,NA,NA,9,NA,NA,NA,NA,1602,NA,TOMPKINS AVE,9
NA,NA,NA,8,NA,NA,NA,NA,1606,NA,8 AVE,8
