ED,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48
105,BERRY,GRAND,KENT AVE,S 1,S 2,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,BERRY,KENT AVE,S 2,S 3,S 4,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,BEDFORD AVE,BERRY,DRIGGS AVE,S 1,S 2,S 3,S 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,BEDFORD AVE,BERRY,DRIGGS AVE,GRAND,ROEBLING,S 1,S 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,DRIGGS AVE,GRAND,HAVEMEYER,ROEBLING,S 1,S 2,S 3,S 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,GRAND,HAVEMEYER,MARCY AVE,RODNEY,S 1,S 2,S 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,BROADWAY,HAVEMEYER,MARCY AVE,RODNEY,S 3,S 4,S 5,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,BEDFORD AVE,BROADWAY,DRIGGS AVE,HAVEMEYER,MARCY AVE,ROEBLING,S 4,S 5,S 8,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,BEDFORD AVE,BERRY,BROADWAY,DUNHAM PL,KENT AVE,S 4,S 5,S 6,S 8,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,BEDFORD AVE,BERRY,BROADWAY,DIVISION AVE,DRIGGS AVE,KENT AVE,S 10,S 11,S 8,S 9,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,BEDFORD AVE,BERRY,KENT AVE,N 10,N 11,N 12,N 13,N 14,N 7,N 8,N 9,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,BERRY,N 6,N 7,N 8,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,KENT AVE,N 6,N 7,N 8,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,BEDFORD AVE,BERRY,GRAND,KENT AVE,METROPOLITAN AVE,N 1,RIVER,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,BEDFORD AVE,DRIGGS AVE,FILLMORE PL,GRAND,HAVEMEYER,HOPE,METROPOLITAN AVE,N 1,N 3,N 4,N 5,N 6,ROEBLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,BERRY,KENT AVE,N 4,N 4 PL,N 5,N 6,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,BEDFORD AVE,BERRY,KENT AVE,METROPOLITAN AVE,N 3,N 4,N 4 PL,RIVER,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,BEDFORD AVE,BERRY,N 4,N 5,N 6,N 7,N 8,N 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,HAVEMEYER,METROPOLITAN AVE,N 4,N 5,N 6,N 7,ROEBLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,DRIGGS AVE,METROPOLITAN AVE,N 4,N 5,N 6,N 7,ROEBLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,GRAND,HAVEMEYER,HOPE,MARCY AVE,METROPOLITAN AVE,N 5,N 6,N 7,RODNEY,ROEBLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,DRIGGS AVE,FROST,HAVEMEYER,N 10,N 11,N 12,N 7,N 8,N 9,ROEBLING,UNION AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,BEDFORD AVE,DRIGGS AVE,N 10,N 11,N 12,N 6,N 7,N 8,N 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,AINSLIE,DEVOE,GRAND,HOOPER,HOPE,KEAP,LORIMER,MAUJER,METROPOLITAN AVE,RODNEY,S 1,S 2,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,AINSLIE,DEVOE,GRAND,LEONARD,LORIMER,MAUJER,POWERS,TENEYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,AINSLIE,GRAHAM AVE,GRAND,LEONARD,LORIMER,MANHATTAN AVE,MAUJER,POWERS,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,AINSLIE,BUSHWICK AVE,DEVOE,GRAHAM AVE,GRAND,HUMBOLDT,MAUJER,POWERS,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,AINSLIE,BUSHWICK AVE,CONSELYEA,DEVOE,GRAHAM AVE,HUMBOLDT,LEONARD,LORIMER,MANHATTAN AVE,METROPOLITAN AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,FROST,GRAHAM AVE,HEBERT,HUMBOLDT,JACKSON,LEONARD,MANHATTAN AVE,RICHARDSON,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,CONSELYEA,GRAHAM AVE,HUMBOLDT,JACKSON,LEONARD,MANHATTAN AVE,SKILLMAN AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,BAYARD,DRIGGS AVE,FROST,JACKSON,LEONARD,LORIMER,RICHARDSON,UNION AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,CONSELYEA,JACKSON,LEONARD,LORIMER,METROPOLITAN AVE,SKILLMAN AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,BROADWAY,HOOPER,KEAP,RODNEY,S 3,S 4,S 5,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,HEWES,HOOPER,KEAP,S 2,S 3,S 4,STAGG,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,BOERUM,BROADWAY,HEWES,JOHNSON AVE,LORIMER,MONTROSE AVE,S 5,THROOP AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,BROADWAY,HEWES,HOOPER,LORIMER,MESEROLE,MONTROSE AVE,S 4,S 5,SCHOLES,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,LEONARD,LORIMER,SCHOLES,STAGG,TENEYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,BOERUM,LEONARD,LORIMER,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,GRAHAM AVE,LEONARD,MANHATTAN AVE,SCHOLES,STAGG WALK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,GRAHAM AVE,LEONARD,MANHATTAN AVE,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,MESEROLE,MONTROSE AVE,SCHOLES,STAGG WALK,TEN EYCK WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,BUSHWICK AVE,BUSHWICK PL,HUMBOLDT,MESEROLE,MONTROSE AVE,SCHOLES,STAGG WALK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,BOERUM,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MONTROSE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,BOERUM,BUSHWICK AVE,BUSHWICK PL,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MC KIBBIN,MONTROSE AVE,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,BOERUM,BROADWAY,GRAHAM AVE,LEONARD,LORIMER,MANHATTAN AVE,MC KIBBIN,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,BOERUM,GRAHAM AVE,JOHNSON AVE,LEONARD,MANHATTAN AVE,MC KIBBIN,MONTROSE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,BROADWAY,COOK,DEBEVOISE,GRAHAM AVE,LEONARD,MANHATTAN AVE,MOORE,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,COOK,GRAHAM AVE,HUMBOLDT,MANHATTAN AVE,MOORE,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,BUSHWICK AVE,COOK,HUMBOLDT,MOORE,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,BROADWAY,BUSHWICK AVE,COOK,DEBEVOISE,FLUSHING AVE,GRAHAM AVE,HUMBOLDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,BOX,CLAY,COMMERCIAL,DUPONT,EAGLE,FRANKLIN,MANHATTAN AVE,OAKLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,ASH,BOX,CLAY,DUPONT,EAGLE,MANHATTAN AVE,OAKLAND,PAIDGE AVE,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,EAGLE,FREEMAN,GREEN,KINGLAND AVE,MANHATTAN AVE,N HENRY,OAKLAND,PAIDGE AVE,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,GREEN,GREENPOINT AVE,HURON,INDIA,JAVA,KINGLAND AVE,MANHATTAN AVE,N HENRY,OAKLAND,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,GREENPOINT AVE,JAVA,KENT,MANHATTAN AVE,N HENRY,OAKLAND,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,CALYER,DIAMOND,ECKFORD,GREENPOINT AVE,HUMBOLDT,JEWELL,KINGLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MONITOR,MOULTRIE,N HENRY,NEWELL,OAKLAND,RUSSELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,DIAMOND,ECKFORD,HUMBOLDT,JEWELL,KINGLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MONITOR,MOULTRIE,N HENRY,NEWELL,NORMAN,OAKLAND,RUSSELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,APOLLO,BRIDGEWATR,DIAMOND,ECKFORD,HAUSMAN,HUMBOLDT,JEWELL,KINGLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NASSAU AVE,NEWELL,NORMAN,OAKLAND,RUSSELL,SUTTON,VAN DAM,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,EAGLE,FRANKLIN,FREEMAN,GREEN,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,FRANKLIN,GREEN,HURON,INDIA,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,FRANKLIN,INDIA,JAVA,KENT,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,FRANKLIN,GREENPOINT AVE,KENT,MANHATTAN AVE,MILTON,NOBLE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,CALYER,FRANKLIN,GUERNSEY,LORIMER,MANHATTAN AVE,NOBLE,OAK,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,BANKER,BEDFORD AVE,CALYER,CLIFFORD PL,DOBBIN,DRIGGS AVE,FRANKLIN,GEM,GUERNSEY,LORIMER,MANHATTAN AVE,MESEROLE AVE,N 14,N 15,NASSAU AVE,NORMAN,QUAY,WEST,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,APOLLO,DIAMOND,DRIGGS AVE,ECKFORD,HAUSMAN,HUMBOLDT,KINGLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,NASSAU AVE,NEWELL,OAKLAND,RUSSELL,SUTTON,VAN DAM,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,BAYARD,BROOME,DRIGGS AVE,ECKFORD,ENGERT AVE,GRAHAM AVE,HUMBOLDT,KINGLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NEWTON,RICHARDSON,RUSSELL,SUTTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,ANTHONY,BEADEL,CHERRY,DEBEVOISE AVE,DIVISION PL,FROST,GARDNER AVE,GRAHAM AVE,HEBERT,HUMBOLDT,KINGLAND AVE,LOMBARDY,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,PORTER AVE,RICHARDSON,SCOTT AVE,STEWART AVE,THOMAS,TOWNSEND,VANDERVORT AVE,VARICK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,DEBEVOISE AVE,FROST,HUMBOLDT,JACKSON,KINGLAND AVE,MASPETH AVE,MORGAN AVE,OLD WOOD POINT RD,SKILLMAN AVE,VANDERVORT AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,BUSHWICK AVE,CATHERINE,DEVOE,GRAND,HUMBOLDT,JUDGE,MASPETH AVE,METROPOLITAN AVE,METROPOLITAN AVE BRG,MORGAN AVE,OLIVE,ORIENT AVE,POWERS,SHARON,VANDERVORT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,BOERUM,BOGART,BUSHWICK AVE,BUSHWICK PL,COOK,EVERGREEN AVE,FLUSHING AVE,GARDNER AVE,GRAND,GRATTAN,HARRISON PL,INGRAHAM,IRVING AVE,JOHNSON AVE,MAUJER,MC KIBBIN,MEADOW,MESEROLE,METROPOLITAN AVE,METROPOLITAN AVE BRG,MOORE,MORGAN AVE,PORTER AVE,RANDOLPH,ROCK,SCHOLES,SCOTT AVE,SEIGEL,SENECA AVE,STAGG,STEWART AVE,TENEYCK,THAMES,VARET,VARICK AVE,WATERBURY,WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,CENTRAL AVE,CYPRESS AVE,EVERGREEN AVE,FLUSHING AVE,FORREST,GEORGE,GRATTAN,IRVING AVE,JEFFERSON,KNICKERBOCKER AVE,MELROSE,NOLL,SAINT NICHOLASS AVE,SCOTT AVE,TROUTMAN,WILSON AVE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,ARION PL,BEAVER,BELVIDERE,BROADWAY,BUSHWICK AVE,ELLERY,EVERGREEN AVE,FAYETTE,FLUSHING AVE,FORREST,GARDEN,JEFFERSON,LOCUST,MELROSE,MONTIETH,MYRTLE AVE,NOLL,PARK,STANWIX,SUMNER PL,TROUTMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,BROADWAY,BUSHWICK AVE,CEDAR,CENTRAL AVE,CYPRESS AVE,DE KALB AVE,EVERGREEN AVE,HART,IRVING AVE,KNICKERBOCKER AVE,KOSCIUSZKO,MYRTLE AVE,SAINT NICHOLASS AVE,STANHOPE,STOCKHOLM,SUYDAM,WILSON AVE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
