ED,V1.x,V2.x,V3.x,V4.x,V5.x,V6.x,V7.x,V8.x,V9.x,V10.x,V11.x,V12.x,V13.x,V14.x,V15.x,V16.x,V17.x,V18.x,V19.x,V20.x,V21.x,V22.x,V23.x,V24.x,V25.x,V26.x,V27.x,V28.x,V29.x,V30.x,V31.x,V32.x,V33.x,V34.x,V35.x,V1.y,V2.y,V3.y,V4.y,V5.y,V6.y,V7.y,V8.y,V9.y,V10.y,V11.y,V12.y,V13.y,V14.y,V15.y,V16.y,V17.y,V18.y,V19.y,V20.y,V21.y,V22.y,V23.y,V24.y,V25.y,V26.y,V27.y,V28.y,V29.y,V30.y,V31.y,V32.y,V33.y,V34.y,V35.y,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66
701,COLORED ORPHAN ASYLUM [M],ORPHAN ASYLUM COLORED [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,143 WEST [M],144 WEST [M],ALEXANDER HAMILTON SQ [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],HAMILTON PLACE [G],RIVERSIDE DRIVE [G],WEST  144 [G],WEST  143 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,144 WEST [M],145 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],RIVERSIDE DRIVE [G],WEST  145 [G],WEST  144 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704,152 WEST [M],153 WEST [M],154 WEST [M],155 WEST [M],8 AVENUE [M],BRADHURST AVENUE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F DOUGLAS BOULEVARD [G],WEST  153 [G],WEST  154 [G],WEST  155 [G],BRADHURST AVENUE [G],WEST  152 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,138 WEST [M],139 WEST [M],140 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],HAMILTON PLACE [M],MONTEFIORE SQUARE [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],HAMILTON PLACE [G],RIVERSIDE DRIVE [G],WEST  139 [G],WEST  140 [G],FOOT BRIDGE [G],WEST  138 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,139 WEST [M],140 WEST [M],141 WEST [M],142 WEST [M],AMSTERDAM AVENUE [M],HAMILTON PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  140 [G],WEST  141 [G],WEST  142 [G],HAMILTON PLACE [G],WEST  139 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,138 WEST [M],139 WEST [M],AMSTERDAM AVENUE [M],HAMILTON PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEST  139 [G],HAMILTON PLACE [G],WEST  138 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,MONTE JOIRE HOME CHRONIC INVALIDS [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,136 WEST [M],137 WEST [M],138 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],HAMILTON PLACE [M],MONTEFIORE SQUARE [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],FOOT BRIDGE [G],HAMILTON PLACE [G],RIVERSIDE DRIVE [G],WEST  137 [G],WEST  138 [G],WEST  136 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,134 WEST [M],135 WEST [M],136 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],RIVERSIDE DRIVE [G],WEST  135 [G],WEST  136 [G],WEST  134 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,134 WEST [M],135 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  135 [G],BROADWAY [G],WEST  134 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,NY HEBREW ORPHAN\'SOUTH ASYLUM [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,133 WEST [M],134 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],RIVERSIDE DRIVE [G],TWELFTH AVENUE [G],WEST  134 [G],WEST  133 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,132 WEST [M],133 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],BROADWAY OLD [M],NORTH RIVER [M],OLD BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],OLD BROADWAY [G],RIVERSIDE DRIVE [G],TWELFTH AVENUE [G],WEST  133 [G],WEST  132 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,131 WEST [M],132 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],BROADWAY OLD [M],NORTH RIVER [M],OLD BROADWAY [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],OLD BROADWAY [G],RIVERSIDE DRIVE [G],WEST  132 [G],WEST  131 [G],WEST 131 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,TWELFTH AVENUE [M],130 WEST [M],131 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],BROADWAY OLD [M],NORTH RIVER [M],OLD BROADWAY [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],OLD BROADWAY [G],RIVERSIDE DRIVE [G],TWELFTH AVENUE [G],WEST  131 [G],WEST 131 [G],WEST  125 [G],WEST  130 [G],WEST 130 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,126 WEST [M],127 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],HANCOCK PLACE [M],LAWRENCE [M],MANHATTAN [M],MOYLAN PLACE [M],OLD BROADWAY [M],TIEMANN PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],TIEMANN PLACE [G],WEST  125 [G],WEST  126 [G],BROADWAY [G],OLD BROADWAY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718,129 WEST [M],130 WEST [M],AMSTERDAM AVENUE [M],BROADWAY OLD [M],LAWRENCE [M],OLD BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  129 [G],WEST 130 [G],OLD BROADWAY [G],WEST  126 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,127 WEST [M],129 WEST [M],130 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],BROADWAY OLD [M],HANCOCK PLACE [M],LAWRENCE [M],MANHATTAN [M],NORTH RIVER [M],OLD BROADWAY [M],RIVERSIDE DRIVE [M],TIEMANN PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],CONNECTOR [G],OLD BROADWAY [G],RIVERSIDE DRIVE [G],RIVERSIDE DRIVE EAST [G],RIVERSIDE DRIVE WEST [G],SAINT CLAIR PLACE [G],TWELFTH AVENUE [G],WEST  125 [G],WEST  126 [G],WEST  129 [G],WEST  130 [G],WEST 130 [G],TIEMANN PLACE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,125 WEST [M],126 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],LA SALLE [M],MOYLAN PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],LASALLE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,122 WEST [M],123 WEST [M],124 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  123 [G],WEST 124 [G],BROADWAY [G],WEST  122 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,124 WEST [M],125 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],LA SALLE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],LASALLE [G],BROADWAY [G],WEST 124 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,122 WEST [M],125 WEST [M],127 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],CLAREMONT AVENUE [M],CLAREMONT PLACE [M],LA SALLE [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],TIEMANN PLACE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],CLAREMONT AVENUE [G],LASALLE [G],RIVERSIDE DRIVE [G],RIVERSIDE DRIVE EAST [G],RIVERSIDE DRIVE WEST [G],TIEMANN PLACE [G],CONNECTOR [G],WEST  122 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,119 WEST [M],120 WEST [M],121 WEST [M],122 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],CLAREMONT AVENUE [M],CLAREMONT PLACE [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],CLAREMONT AVENUE [G],RIVERSIDE DRIVE [G],RIVERSIDE DRIVE EAST [G],RIVERSIDE DRIVE WEST [G],WEST  120 [G],WEST  121 [G],WEST  122 [G],WEST  119 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,114 WEST [M],116 WEST [M],119 WEST [M],120 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],CLAREMONT AVENUE [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],CLAREMONT AVENUE [G],RIVERSIDE DRIVE [G],WEST  115 [G],WEST  116 [G],WEST  119 [G],WEST  120 [G],WEST  114 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,112 WEST [M],113 WEST [M],114 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  113 [G],WEST  114 [G],BROADWAY [G],WEST  112 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,110 WEST [M],111 WEST [M],112 WEST [M],113 WEST [M],114 WEST [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],CATHEDRAL PARKWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BROADWAY [G],CATHEDRAL PARKWAY [G],RIVERSIDE DRIVE [G],WEST  111 [G],WEST  112 [G],WEST  113 [G],WEST  114 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,110 WEST [M],111 WEST [M],112 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],CATHEDRAL PARKWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],WEST  111 [G],WEST  112 [G],BROADWAY [G],CATHEDRAL PARKWAY [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,107 WEST [M],108 WEST [M],109 WEST [M],110 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],CATHEDRAL PARKWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],CATHEDRAL PARKWAY [G],RIVERSIDE DRIVE [G],WEST  108 [G],WEST  109 [G],WEST  107 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730,107 WEST [M],108 WEST [M],109 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],WEST  108 [G],WEST  109 [G],WEST  107 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,106 WEST [M],107 WEST [M],AMSTERDAM AVENUE [M],BOULEVARD LAFAYETTE [M],BROADWAY [M],NORTH RIVER [M],RIVERSIDE DRIVE [M],WEST END AVENUE [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],RIVERSIDE DRIVE [G],WEST  107 [G],WEST  END AVENUE [G],WEST  106 [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,104 WEST [M],105 WEST [M],106 WEST [M],AMSTERDAM AVENUE [M],BROADWAY [M],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMSTERDAM AVENUE [G],BROADWAY [G],WEST  105 [G],WEST  106 [G],WEST  104 [G],WEST  END AVENUE [G],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
