street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
MADISON AVE,MADISON AVE,NA,316,332,317,331,1169,1169,402,G00000140,MADISON AVE
W LITTLE 12,W LITTLE 12,NA,4,38,7,41,177,177,403,G00000141,W LITTLE 12
3 AVE,3 AVE,NA,488,506,489,505,1260,1246,404,G00000142,3 AVE
W 51,W 51,NA,214,256,215,257,1285,1284,405,G00000143,W 51
THOMPSON,THOMPSON,NA,1,19,2,20,121,124,406,G00000144,THOMPSON
E 69,E 69,NA,101,129,100,128,1137,1137,407,G00000145,E 69
MARBLE HL AVE,MARBLE HL AVE,NA,NA,NA,NA,NA,NA,NA,408,G00000146,MARBLE HL AVE
CLAREMONT AVE,CLAREMONT AVE,NA,NA,NA,2,14,725,725,409,G00000147,CLAREMONT AVE
W 120,W 120,NA,300,318,301,319,633,634,410,G00000148,W 120
WILLIAM,WILLIAM,NA,145,155,144,154,10,10,411,G00000149,WILLIAM
CONVENT AVE,CONVENT AVE,NA,280,298,281,299,654,654,412,G00000150,CONVENT AVE
11 AVE,11 AVE,NA,721,735,720,736,1368,1366,413,G00000151,11 AVE
PARK E TER,PARK E TER,NA,NA,NA,NA,NA,674,674,414,G00000152,PARK E TER
E 15,E 15,NA,201,233,200,232,980,980,415,G00000153,E 15
W 56,W 56,NA,222,250,223,251,1288,1286,416,G00000154,W 56
E 8,E 8,NA,351,403,350,398,1655,257,417,G00000155,E 8
E 46,E 46,NA,81,125,80,124,1125,1125,418,G00000156,E 46
W 87,W 87,NA,100,176,101,183,580,580,419,G00000157,W 87
BROADWAY,BROADWAY,NA,1431,1449,1434,1450,1200,1200,420,G00000158,BROADWAY
E 30,E 30,NA,133,159,132,160,1263,1264,421,G00000159,E 30
E HOUSTON,E 2,NA,426,444,NA,NA,229,229,422,G00000160,E 2
11 AVE,11 AVE,NA,589,605,592,608,1358,1356,423,G00000161,11 AVE
WATER,WATER,NA,204,224,203,223,11,11,424,G00000162,WATER
STANTON,STANTON,NA,186,200,189,203,242,235,425,G00000163,STANTON
5 AVE,5 AVE,NA,110,116,85,95,991,551,426,G00000164,5 AVE
FLETCHER,FLETCHER,NA,26,46,27,45,11,11,427,G00000165,FLETCHER
E 61,E 61,NA,1,25,2,28,1163,1163,428,G00000166,E 61
SULLIVAN,SULLIVAN,NA,166,196,167,197,816,815,429,G00000167,SULLIVAN
THOMPSON,THOMPSON,NA,45,83,46,82,122,123,430,G00000168,THOMPSON
PEARL,PEARL,NA,55,69,54,73,8,8,431,G00000169,PEARL
DOYERS,DOYERS,NA,1,19,2,18,46,46,432,G00000170,DOYERS
6 AVE,6 AVE,NA,NA,NA,114,130,158,825,433,G00000171,6 AVE
W 102,W 102,NA,300,326,301,325,738,735,434,G00000172,W 102
E 43,E 43,NA,301,335,300,348,1110,1111,435,G00000173,E 43
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,725,725,436,G00000174,BROADWAY
YORK AVE,AVE A,NA,1473,1491,1470,1492,1023,1024,437,G00000175,AVE A
E 8,E 8,NA,47,61,44,58,822,822,438,G00000176,E 8
E 99,E 99,NA,153,175,152,176,394,394,439,G00000177,E 99
10 AVE,10 AVE,NA,NA,NA,NA,NA,674,672,440,G00000178,10 AVE
BROADWAY,BROADWAY,NA,NA,NA,2720,2736,733,732,441,G00000179,BROADWAY
MORNINGSIDE AVE,MORNINGSIDE AVE,NA,NA,NA,20,29,624,629,442,G00000180,MORNINGSIDE AVE
9 AVE,9 AVE,NA,841,861,842,864,1326,1327,443,G00000181,9 AVE
NASSAU,NASSAU,NA,139,151,140,152,10,10,444,G00000182,NASSAU
E 52,E 52,NA,NA,NA,NA,NA,505,1127,445,G00000183,E 52
E 23,E 23,NA,101,133,100,132,985,985,446,G00000184,E 23
DELANCEY,DELANCEY,NA,NA,NA,99,113,216,216,447,G00000185,DELANCEY
2 AVE,2 AVE,NA,1,17,2,16,893,894,448,G00000186,2 AVE
ADAM POWELL BLVD,7 AVE,NA,1960,1976,NA,NA,561,561,449,G00000187,7 AVE
10 AVE,10 AVE,NA,485,501,484,500,1233,1214,450,G00000188,10 AVE
E 101,E 101,NA,1,25,2,24,471,472,451,G00000189,E 101
W 160,W 160,NA,600,600,NA,NA,686,686,452,G00000190,W 160
PEARL,PEARL,NA,33,53,34,52,1,1,453,G00000192,PEARL
1 AVE,1 AVE,NA,983,1003,984,1004,1086,1007,454,G00000193,1 AVE
E 89,E 89,NA,NA,NA,NA,NA,481,483,455,G00000194,E 89
2 AVE,2 AVE,NA,133,143,132,144,898,899,456,G00000195,2 AVE
W 157,W 157,NA,NA,NA,NA,NA,1742,1742,457,G00000196,W 157
MADISON,MADISON,NA,23,37,20,40,22,25,458,G00000197,MADISON
AMSTERDAM AVE,AMSTERDAM AVE,NA,338,356,339,355,1388,1300,459,G00000198,AMSTERDAM AVE
E 7,E 7,NA,NA,NA,132,182,911,911,460,G00000199,E 7
HUDSON,HUDSON,NA,323,341,324,344,104,111,461,G00000200,HUDSON
W 113,W 113,NA,NA,NA,NA,NA,727,727,462,G00000201,W 113
FRONT,FRONT,NA,78,94,77,93,9,9,463,G00000202,FRONT
W 103,W 103,NA,240,256,235,255,735,735,464,G00000203,W 103
LEX AVE,LEXINGTON AVE,NA,1790,1800,1791,1801,411,411,465,G00000204,LEXINGTON AVE
E 62,E 62,NA,201,253,200,252,1081,1080,466,G00000205,E 62
W 46,W 46,NA,NA,NA,NA,NA,1271,1281,467,G00000206,W 46
E 58,E 58,NA,301,357,300,350,1082,1083,468,G00000207,E 58
E 52,E 52,NA,1,27,2,26,1167,1167,469,G00000208,E 52
W 119,W 119,NA,350,372,351,373,631,630,470,G00000209,W 119
HESTER,HESTER,NA,68,82,81,95,186,195,471,G00000210,HESTER
PARK AVE,PARK AVE,NA,NA,NA,1495,1507,409,409,472,G00000211,PARK AVE
E 112,E 112,NA,301,341,300,348,328,331,473,G00000212,E 112
W 102,W 102,NA,NA,NA,NA,NA,737,735,474,G00000213,W 102
W 112,W 112,NA,116,142,121,141,577,576,475,G00000214,W 112
ESSEX,ESSEX,NA,91,125,94,132,217,218,476,G00000215,ESSEX
FRAWLEY CIR,FRAWLEY CIR,NA,NA,NA,NA,NA,507,507,477,G00000216,FRAWLEY CIR
OLIVER,OLIVER,NA,22,32,15,33,23,22,478,G00000217,OLIVER
W 170,W 170,NA,NA,NA,NA,NA,686,686,479,G00000218,W 170
E 77,E 77,NA,1,35,2,18,1158,1159,480,G00000219,E 77
CANAL,CANAL,NA,NA,NA,129,135,179,190,481,G00000220,CANAL
BROADWAY,BROADWAY,NA,NA,NA,3758,3778,1742,691,482,G00000221,BROADWAY
LIBERTY,LIBERTY,NA,58,72,59,75,7,10,483,G00000222,LIBERTY
AVE B,AVE B,NA,36,54,37,53,919,1665,485,G00000224,AVE B
E 46,E 46,NA,401,417,NA,NA,999,999,486,G00000225,E 46
WASHINGTON W SQ,WASHINGTON W SQ,NA,NA,NA,29,32,807,807,487,G00000226,WASHINGTON W SQ
C W P,CENTRAL PARK WEST,NA,350,359,NA,NA,593,507,488,G00000227,CENTRAL PARK WEST
PARK AVE,PARK AVE,NA,NA,NA,1739,1757,420,420,489,G00000228,PARK AVE
MADISON AVE,MADISON AVE,NA,1934,1944,1931,1945,436,436,490,G00000229,MADISON AVE
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,724,724,491,G00000230,BROADWAY
PARK AVE,PARK AVE,NA,1840,1856,NA,NA,435,435,492,G00000231,PARK AVE
BENNETT AVE,BENNETT AVE,NA,NA,NA,NA,NA,678,678,493,G00000232,BENNETT AVE
BROADWAY,BROADWAY,NA,3501,3517,NA,NA,702,702,494,G00000233,BROADWAY
ADAM POWELL BLVD,7 AVE,NA,2480,2498,NA,NA,520,520,495,G00000234,7 AVE
5 AVE,5 AVE,NA,NA,NA,NA,NA,827,822,496,G00000235,5 AVE
1 AVE,1 AVE,NA,329,343,328,340,970,951,497,G00000236,1 AVE
6 AVE,6 AVE,NA,851,869,850,868,1279,1177,498,G00000237,6 AVE
GREENWICH AVE,GREENWICH AVE,NA,115,129,102,118,169,168,499,G00000238,GREENWICH AVE
NASSAU,NASSAU,NA,57,69,56,68,10,10,500,G00000239,NASSAU
5 AVE,5 AVE,NA,NA,NA,938,948,1181,1159,501,G00000240,5 AVE
E 54,E 54,NA,301,357,300,358,1086,1092,502,G00000241,E 54
1 AVE,1 AVE,NA,33,49,32,48,896,1682,503,G00000242,1 AVE
PARK AVE,PARK AVE,NA,NA,NA,381,397,505,1132,504,G00000243,PARK AVE
W 179,W 179,NA,528,560,529,561,681,693,505,G00000244,W 179
SHERMAN AVE,SHERMAN AVE,NA,NA,NA,NA,NA,674,674,506,G00000245,SHERMAN AVE
PARK AVE S,4 AVE,NA,404,422,403,419,1267,1264,507,G00000246,4 AVE
RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,6,16,1387,1387,508,G00000247,RIVERSIDE DR
E 77,E 77,NA,145,179,174,180,1154,1142,509,G00000248,E 77
9 AVE,9 AVE,NA,353,369,352,370,1219,1219,510,G00000249,9 AVE
W 218,W 218,NA,NA,NA,NA,NA,674,673,511,G00000250,W 218
W 12,W 12,NA,101,181,102,178,160,160,512,G00000251,W 12
W END AVE,W END AVE,NA,561,579,562,578,746,746,513,G00000252,W END AVE
MADISON AVE,MADISON AVE,NA,134,150,135,151,1266,1266,514,G00000253,MADISON AVE
E 24,E 24,NA,1,35,NA,NA,988,650,515,G00000254,E 24
E 76,E 76,NA,1,29,2,28,1159,1159,516,G00000255,E 76
W HOUSTON,W HOUSTON,NA,87,105,86,106,118,814,517,G00000256,W HOUSTON
COLUMBUS AVE,COLUMBUS AVE,NA,678,698,681,699,589,590,518,G00000257,COLUMBUS AVE
YORK AVE,AVE A,NA,1733,1747,1736,1744,283,283,519,G00000258,AVE A
W 166,W 166,NA,NA,NA,NA,NA,686,686,520,G00000259,W 166
ACADEMY,ACADEMY,NA,NA,NA,NA,NA,674,674,521,G00000260,ACADEMY
LUDLOW,LUDLOW,NA,133,159,132,160,869,873,522,G00000261,LUDLOW
FORT WASHINGTON AVE,FORT WASHINGTON AVE,NA,NA,NA,NA,NA,679,680,523,G00000262,FORT WASHINGTON AVE
E 5,E 5,NA,301,345,300,342,902,903,524,G00000264,E 5
MANHATTAN AVE,MANHATTAN AVE,NA,NA,NA,NA,NA,636,636,525,G00000265,MANHATTAN AVE
KENMARE,KENMARE,NA,NA,NA,NA,NA,788,788,526,G00000266,KENMARE
W 124,W 124,NA,NA,NA,1,39,495,495,527,G00000267,W 124
E 123,E 123,NA,39,73,50,76,438,438,528,G00000268,E 123
E 94,E 94,NA,141,183,140,180,389,388,529,G00000269,E 94
E 71,E 71,NA,147,189,142,178,1146,1147,530,G00000270,E 71
SZOLD PL,DRY DOCK,NA,1,5,2,6,270,269,531,G00000271,DRY DOCK
PARK AVE,PARK AVE,NA,NA,NA,637,651,1138,1138,532,G00000272,PARK AVE
E 39,E 39,NA,1,21,2,22,1170,544,534,G00000274,E 39
IRVING PL,IRVING PL,NA,15,33,14,30,983,983,535,G00000275,IRVING PL
E 75,E 75,NA,NA,NA,NA,NA,1159,1159,536,G00000276,E 75
3 AVE,3 AVE,NA,1490,1506,1491,1507,384,373,537,G00000277,3 AVE
W 79,W 79,NA,234,270,235,271,1392,1747,538,G00000278,W 79
JACKSON,JACKSON,NA,NA,NA,47,63,102,98,539,G00000279,JACKSON
ALLEN,ALLEN,NA,89,109,88,110,208,211,540,G00000280,ALLEN
3 AVE,3 AVE,NA,224,240,225,243,981,971,541,G00000281,3 AVE
W 135,W 135,NA,500,518,501,523,711,1644,542,G00020632,W 135
W 120,W 120,NA,272,284,NA,NA,560,559,543,G00000283,W 120
W 154,W 154,NA,300,312,301,313,704,704,544,G00000284,W 154
E 25,E 25,NA,129,161,134,162,984,984,545,G00000285,E 25
SPRING,SPRING,NA,106,124,105,123,125,125,546,G00000286,SPRING
BROADWAY,BROADWAY,NA,NA,NA,NA,NA,675,675,547,G00000287,BROADWAY
MANHATTAN AVE,MANHATTAN AVE,NA,NA,NA,310,326,622,622,548,G00000288,MANHATTAN AVE
TRINITY PL,TRINITY PL,NA,94,102,95,101,4,4,549,G00000290,TRINITY PL
BROADWAY,BROADWAY,NA,NA,NA,3420,3438,705,1431,550,G00000291,BROADWAY
W 156,W 156,NA,600,626,601,627,1742,1742,551,G00000292,W 156
TUDOR CITY PL,PROSPECT PL,NA,46,68,45,67,1111,1111,552,G00000293,PROSPECT PL
BROADWAY,BROADWAY,NA,NA,NA,2300,2318,1395,1396,553,G00000294,BROADWAY
1 AVE,1 AVE,NA,1701,1719,1700,1716,369,274,554,G00000295,1 AVE
LUDLOW,LUDLOW,NA,NA,NA,NA,NA,214,216,555,G00000296,LUDLOW
5 AVE,5 AVE,NA,172,186,167,185,995,650,556,G00000297,5 AVE
2 AVE,2 AVE,NA,881,899,878,900,647,1102,557,G00000298,2 AVE
W 140,W 140,NA,200,272,201,269,525,524,558,G00020633,W 140
MADISON AVE,MADISON AVE,NA,670,688,671,689,1163,1163,559,G00000300,MADISON AVE
RIVERSIDE DR,RIVERSIDE DR,NA,NA,NA,493,498,724,724,560,G00000301,RIVERSIDE DR
