ED,Name,Min,Max
26,CATHERINE,65,94
26,CHERRY,100,115
26,OAK,47,59
26,OLIVER,59,82
27,CHERRY,NA,NA
27,JAMES,73,84
27,OAK,38,47
27,OLIVER,59,82
28,CATHERINE,25,44
28,HENRY,NA,NA
28,MADISON,69,122
28,MARKET,NA,NA
29,CATHERINE,NA,NA
29,CATHERINE SLIP,1,27
29,CHERRY,80,115
29,EAST RIVER,NA,NA
29,JAMES,NA,NA
29,JAMES SLIP,1,20
29,NEW CHAMBERS,NA,NA
29,OLIVER,86,104
29,PIER,NA,NA
29,PIER 22,NA,NA
29,PIER 25,NA,NA
29,SOUTH,NA,NA
29,WATER,363,394
30,BROADWAY,NA,NA
30,CANAL,286,384
30,CHURCH,172,333
30,DUANE,90,NA
30,FRANKLIN,66,125
30,FRANKLIN PL,NA,NA
30,LEONARD,37,100
30,LISPENARD,1,74
30,MAIN,NA,NA
30,READE,56,113
30,THOMAS,1,77
30,TRIMBLE PL,NA,NA
30,W BROADWAY,NA,NA
30,WALKER,1,67
30,WHITE,1,67
30,WORTH,29,91
31,BEACH,NA,NA
31,BROADWAY,NA,NA
31,ERICSSON PL,NA,NA
31,FRANKLIN,NA,NA
31,GREENWICH,366,397
31,HUDSON,102,134
31,N MOORE,NA,NA
31,NO MOORE,1,74
31,VARICK,1,25
31,W BROADWAY,NA,NA
32,BEACH,63,85
32,CAROLINE,NA,NA
32,DUANE,187,221
32,FRANKLIN,193,217
32,GREENWICH,310,397
32,HARRISON,23,62
32,JAY,29,55
32,N MOORE,NA,NA
32,NO MOORE,75,109
32,NORTH RIVER,NA,NA
32,NULL,323,378
32,READE,162,172
32,WASHINGTON,300,322
32,WEST,NA,NA
33,DUANE,NA,NA
33,FRANKLIN,NA,NA
33,GREENWICH,310,369
33,HARRISON,1,26
33,HUDSON,NA,NA
33,JAY,1,26
33,LEONARD,1,36
33,READE,NA,NA
33,STAPLE,1,20
33,THOMAS,78,95
33,W BROADWAY,111,207
33,WORTH,1,28
34,CANAL,NA,NA
34,CANAL PARK,NA,NA
34,DESBROSSES,1,41
34,GREENWICH,438,480
34,HUDSON,NA,NA
34,NORTH RIVER,NA,NA
34,VESTRY,27,70
34,WASHINGTON,425,476
34,WASHINTON,NA,NA
34,WATTS,NA,NA
34,WEST,NA,NA
35,BEACH,NA,NA
35,CANAL,379,485
35,ERICSSON PL,NA,NA
35,GREENWICH,424,NA
35,HUDSON,135,213
35,JOHNS LN,NA,NA
35,LAIGHT,2,68
35,SAINT JOHNS LN,1,16
35,VARICK,NA,NA
35,VESTRY,1,50
35,W BROADWAY,260,296
35,YORK,1,16
36,BEACH,43,85
36,COLLISTER,1,20
36,GREENWICH,394,NA
36,HUBERT,1,50
36,HUDSON,135,164
36,LAIGHT,49,99
36,NORTH RIVER,NA,NA
36,NULL,379,396
36,VESTRY,49,70
36,WASHINGTON,397,424
36,WEST,NA,NA
37,BROADWAY,NA,NA
37,CARDINAL,NA,NA
37,CENTRE,NA,NA
37,CHAMBERS,NA,NA
37,CITY HALL PARK,NA,NA
37,CITY HALL PL,15,44
37,CITY HALL SQ,NA,NA
37,DUANE,NA,NA
37,ELM,NA,NA
37,LAFAYETTE,NA,NA
37,MAIL,NA,NA
37,MANHATTAN ALY,NA,NA
37,MANHATTAN PL,NA,NA
37,NASSAU,NA,NA
37,OTTENDONFER SQ,NA,NA
37,PARK,27,43
37,PARK ROW,NA,NA
37,PEARL,465,557
37,READE,NA,NA
37,REPUBLICAN ALY,NA,NA
37,SAINT ANDREWS PLZ,NA,NA
38,BENSON,NA,NA
38,BENSON PL,NA,NA
38,BROADWAY,NA,NA
38,CANAL,239,289
38,CATHERINE LN,NA,NA
38,CENTRE,51,153
38,CORTLANDT ALY,NA,NA
38,ELM,33,48
38,FRANKLIN,20,67
38,LAFAYETTE,NA,NA
38,LEONARD,NA,NA
38,MAIN,NA,NA
38,PEARL,513,557
38,WALKER,68,115
38,WHITE,70,114
38,WORTH,100,134
39,CENTRE,93,130
39,CITY JAIL,NA,NA
39,TOMBS CITY JAIL,NA,NA
39,WHITE,100,114
40,BAXTER,NA,NA
40,CANAL,221,238
40,CENTRE,92,153
40,FRANKLIN,1,18
40,LEONARD,140,169
40,MAIN,NA,NA
40,WALKER,112,135
40,WHITE,116,133
41,BAXTER,NA,NA
41,CENTRE,51,73
41,LEONARD,140,169
41,MIRIAM PL,NA,NA
41,MISSION PL,NA,NA
41,PARK,NA,NA
41,PARK ROW,156,187
41,PEARL,465,512
41,WORTH,NA,NA
42,BAXTER,NA,NA
42,MIRIAM PL,NA,NA
42,PARK,NA,NA
42,PARK ROW,NA,NA
42,PEARL,NA,NA
43,5 POINTS INDUSTRY,NA,NA
43,CENTRE,76,91
43,WORTH,135,155
44,BAXTER,1,24
44,MULBERRY,1,9
44,PARK ROW,168,207
44,WORTH,170,181
45,BAXTER,NA,NA
45,CHATHAM SQ,NA,NA
45,MOTT,NA,NA
45,MULBERRY,NA,NA
45,PARADISE PARK,NA,NA
45,PARK,NA,NA
45,PARK ROW,NA,NA
45,WORTH,NA,NA
46,BOWERY,1,19
46,CATHERINE,1,9
46,CHATHAM SQ,NA,NA
46,DOYERS,1,17
46,E BROADWAY,NA,NA
46,KIMLOW SQ,NA,NA
46,MOTT,1,38
46,PARADISE PARK,NA,NA
46,PARK ROW,NA,NA
46,PELL,1,36
46,WORTH,NA,NA
47,BAYARD,39,74
47,BOWERY,20,NA
47,MOTT,37,53
47,PELL,1,36
48,BAYARD,NA,NA
48,CHATHAM SQ,NA,NA
48,MOTT,1,53
48,MULBERRY,NA,NA
48,PARK,100,112
48,PARK ROW,NA,NA
48,WORTH,191,205
49,BAXTER,NA,NA
49,BAYARD,NA,NA
49,CANAL,203,220
49,HARRY HOWARD SQ,NA,NA
49,MAIN,NA,NA
49,MULBERRY,71,92
49,WALKER,NA,NA
50,BAYARD,NA,NA
50,CANAL,186,204
50,MOTT,52,85
50,MULBERRY,71,92
50,WALKER,NA,NA
51,BAYARD,39,74
51,BOWERY,NA,NA
51,CANAL,149,185
51,ELIZABETH,1,30
51,MOTT,52,85
51,WALKER,NA,NA
52,CATHERINE,1,9
52,DIVISION,NA,NA
52,E BROADWAY,16,69
52,MARKET,1,8
53,CATHERINE,NA,NA
53,E BROADWAY,16,69
53,HENRY,15,62
53,MARKET,9,22
54,CATHERINE,NA,NA
54,HENRY,15,62
54,MADISON,NA,NA
54,MARKET,23,40
55,CATHERINE,NA,NA
55,MADISON,69,122
55,MARKET,39,56
55,MONROE,NA,NA
56,CATHERINE,61,78
56,HAMILTON,1,47
56,MARKET,NA,NA
56,MONROE,1,44
57,CATHERINE,NA,NA
57,CHERRY,NA,NA
57,GAY,NA,NA
57,HAMILTON,1,47
57,MARKET,58,80
58,CATHERINE SLIP,1,27
58,CHERRY,116,187
58,EAST RIVER,NA,NA
58,MARKET,NA,NA
58,MARKET SLIP,83,104
58,NULL,433,463
58,PIER,NA,NA
58,PIERS,NA,NA
58,PIKE,NA,NA
58,PIKE SLIP,NA,NA
58,SOUTH,NA,NA
58,WATER,396,432
59,CHERRY,166,187
59,MARKET,NA,NA
59,MONROE,45,78
59,PIKE,59,69
60,MADISON,119,156
60,MARKET,39,56
60,MONROE,45,78
60,PIKE,39,57
61,BIRMINGHAM,NA,NA
61,HENRY,NA,NA
61,MADISON,119,156
61,MARKET,23,40
61,PIKE,23,40
62,E BROADWAY,NA,NA
62,HENRY,NA,NA
