OBJECTID,JoinID,Valid 1910,GeoCheck 1910,StreetModern,ST Name Alt 1910,HNYC Street Name 1910,Left Low 1910,Left High 1910,Right Low 1910,Right High 1910,ED Left 1910,ED Right 1910,Name
503,G00000242,1,1,1 AVE,NA,1 AVE,33,49,32,48,896,1682,1 AVE
504,G00000243,1,1,PARK AVE,NA,PARK AVE,NA,NA,381,397,505,1132,PARK AVE
505,G00000244,1,1,W 179,NA,W 179,528,560,529,561,681,693,W 179
506,G00000245,1,1,SHERMAN AVE,NA,SHERMAN AVE,NA,NA,NA,NA,674,674,SHERMAN AVE
507,G00000246,1,1,PARK AVE S,NA,4 AVE,404,422,403,419,1267,1264,4 AVE
508,G00000247,1,1,RIVERSIDE DR,NA,RIVERSIDE DR,NA,NA,6,16,1387,1387,RIVERSIDE DR
509,G00000248,1,1,E 77,NA,E 77,145,179,174,180,1154,1142,E 77
510,G00000249,1,1,9 AVE,NA,9 AVE,353,369,352,370,1219,1219,9 AVE
511,G00000250,1,1,W 218,NA,W 218,NA,NA,NA,NA,674,673,W 218
512,G00000251,1,1,W 12,NA,W 12,101,181,102,178,160,160,W 12
513,G00000252,1,1,W END AVE,NA,W END AVE,561,579,562,578,746,746,W END AVE
514,G00000253,1,1,MADISON AVE,NA,MADISON AVE,134,150,135,151,1266,1266,MADISON AVE
515,G00000254,1,1,E 24,NA,E 24,1,35,NA,NA,988,650,E 24
516,G00000255,1,1,E 76,NA,E 76,1,29,2,28,1159,1159,E 76
517,G00000256,1,1,W HOUSTON,NA,W HOUSTON,87,105,86,106,118,814,W HOUSTON
518,G00000257,1,1,COLUMBUS AVE,NA,COLUMBUS AVE,678,698,681,699,589,590,COLUMBUS AVE
519,G00000258,1,1,YORK AVE,NA,AVE A,1733,1747,1736,1744,283,283,AVE A
520,G00000259,1,1,W 166,NA,W 166,NA,NA,NA,NA,686,686,W 166
521,G00000260,1,1,ACADEMY,NA,ACADEMY,NA,NA,NA,NA,674,674,ACADEMY
522,G00000261,1,1,LUDLOW,NA,LUDLOW,133,159,132,160,869,873,LUDLOW
523,G00000262,1,1,FORT WASHINGTON AVE,NA,FORT WASHINGTON AVE,NA,NA,NA,NA,679,680,FORT WASHINGTON AVE
524,G00000264,1,1,E 5,NA,E 5,301,345,300,342,902,903,E 5
525,G00000265,1,1,MANHATTAN AVE,NA,MANHATTAN AVE,NA,NA,NA,NA,636,636,MANHATTAN AVE
