XCoord,YCoord,OBJECTID,MN_STREET1910_FULL_STREE,MN_STREET1910_Y1910NAMESTREET,MN_STREET1910_Y1910LEFT_LOW,MN_STREET1910_Y1910LEFT_HIGH,MN_STREET1910_Y1910RIGHT_LOW,MN_STREET1910_Y1910RIGHT_HIGH,MN_STREET1910_JOINID,MN_STREET1910_Y1910NAMEALT,MN_STREET1910_MINUS_ED_ED,MN_STREET1910_PLUS_ED_ED
986012.03222514,205639.94310056,176,E  EIGHTH ST,NULL,47,61,44,58,G00000961,NULL,822,822
998449.56935789,226174.29606064,177,E  99 ST,NULL,153,175,154,176,G00000963,NULL,394,394
1006738.73552231,254352.80367989,178,TENTH AVE,NULL,NULL,NULL,NULL,NULL,G00000964,NULL,674,672
993113.44354722,230777.51323214,179,BROADWAY,NULL,NULL,NULL,2720,2736,G00000966,NULL,732,732
995890.65387206,232906.92695231,180,MORNINGSIDE AVE,NULL,NULL,NULL,20,29,G00000973,NULL,624,629
988008.41930848,218690.13648831,181,9 AVE,NULL,841,861,842,862,G00000976,NULL,1326,1327
982541.11495439,198476.80978906,182,NASSAU ST,NULL,139,151,140,152,G00000978,NULL,10,10
991711.44139742,215594.75768203,183,E  52 ST,NULL,NULL,NULL,NULL,NULL,G00000979,NULL,505,1127
988262.07201638,208818.85078473,184,E  23 ST,NULL,101,133,100,132,G00000982,NULL,985,985
987395.57440555,201077.06869614,185,DELANCEY ST,NULL,NULL,NULL,99,113,G00000998,NULL,216,216
986751.98590406,203023.49445063,186,CHRYSTIE ST,2 AVE,1,17,2,18,G00001001,NULL,893,894
997700.19913747,232517.13278440,187,ADAM POWELL BLVD,NULL,1960,1974,NULL,NULL,G00001003,NULL,561,562
984934.69727352,214998.36746111,188,TENTH AVE,NULL,485,501,484,500,G00001004,NULL,1233,1214
997365.32431509,227372.72853910,189,E  101 ST,NULL,1,25,2,24,G00001005,NULL,471,472
999720.63965039,243923.96659797,190,W  160 ST,NULL,NULL,NULL,NULL,NULL,G00001006,NULL,686,686
995583.59083789,231074.01559190,191,CATHEDRAL PKWY,NULL,2,48,301,313,G00001007,NULL,1730,621
980899.65744334,195517.60491352,192,PEARL ST,NULL,33,53,34,52,G00001010,NULL,1,1
994196.42678151,214963.05896872,193,FIRST AVE,NULL,983,1003,984,1002,G00001014,NULL,1086,1007
996493.50213521,224223.33652526,194,E  89 ST,NULL,NULL,NULL,NULL,NULL,G00001015,NULL,481,483
987725.40150180,204831.32431097,195,2 AVE,NULL,133,NULL,134,NULL,G00001023,NULL,898,899
999422.91714872,243198.53497797,196,W  157 ST,NULL,NULL,NULL,NULL,NULL,G00001026,NULL,1742,1742
984477.86157301,198625.84115110,197,MADISON ST,NULL,23,37,24,40,G00001028,NULL,22,25
989922.86528049,224005.23929519,198,AMSTERDAM AVE,NULL,340,356,341,355,G00001044,NULL,1388,1300
989135.71528222,203619.13349389,199,E  SEVENTH ST,NULL,NULL,NULL,132,182,G00001064,NULL,911,911
982205.40450376,204129.50320806,200,HUDSON ST,NULL,323,341,324,344,G00001072,NULL,104,111
993275.08057843,233288.29749399,201,W  113 ST,NULL,NULL,NULL,NULL,NULL,G00001079,NULL,727,727
982032.32250084,195780.52909239,202,FRONT ST,NULL,78,94,77,93,G00001084,NULL,9,9
992748.71959718,230530.06665347,203,W  103 ST,NULL,240,256,235,253,G00001087,NULL,734,734
999834.20241539,229196.70307356,204,LEX AVE,NULL,1790,1800,1791,1801,G00001089,NULL,411,411
994196.66119705,217245.39200248,205,E  62 ST,NULL,201,253,200,252,G00001102,NULL,1081,1080
988351.75556406,215667.77983619,206,W  46 ST,NULL,NULL,NULL,NULL,NULL,G00001105,NULL,1271,1281
994329.67160006,215978.91041310,207,E  58 ST,NULL,301,357,300,350,G00001108,NULL,1082,1083
991041.72820247,215965.82271123,208,E  52 ST,NULL,1,27,2,26,G00001113,NULL,1167,1167
996400.80541080,233385.21503773,209,W  119 ST,NULL,350,372,351,373,G00001114,NULL,631,630
986561.54720222,200181.83098531,210,HESTER ST,NULL,68,82,81,95,G00001120,NULL,186,195
999167.13024591,228961.89219842,211,PARK AVE,NULL,NULL,NULL,1495,1507,G00001133,NULL,459,409
1001294.37655974,228547.87574640,212,E  112 ST,NULL,301,341,300,348,G00001138,NULL,328,331
992833.40728412,230183.01297632,213,W  102 ST,NULL,NULL,NULL,NULL,NULL,G00001143,NULL,736,734
997155.09786547,230827.66831557,214,W  112 ST,NULL,116,142,121,141,G00001146,NULL,577,576
987615.97750805,201308.81527989,215,ESSEX ST,NULL,91,125,94,128,G00001148,NULL,217,218
998258.99424629,229694.46996438,216,FRAWLEY CIR,NULL,NULL,NULL,NULL,NULL,G00001149,NULL,507,507
984837.57968560,198808.51877131,217,OLIVER ST,NULL,15,33,22,32,G00001151,NULL,23,22
1001107.39179813,246176.12794010,218,W  170 ST,NULL,NULL,NULL,NULL,NULL,G00001157,NULL,686,686
994251.99425568,221756.13101248,219,E  77 ST,NULL,1,35,2,18,G00001159,NULL,1158,1159
985567.10119243,200117.20447414,220,CANAL ST,NULL,NULL,NULL,129,135,G00001162,NULL,190,190
999467.83639923,243023.84820443,221,BROADWAY,NULL,NULL,NULL,3760,3778,G00001163,NULL,1742,691
981449.59728835,197568.23385031,222,LIBERTY ST,NULL,60,80,59,75,G00001169,NULL,7,10
998688.34512705,237113.63737089,223,SAINT NICHLAS AVE,NULL,NULL,NULL,NULL,NULL,G00001179,NULL,649,649
989033.01994956,202676.17130502,224,B AVE,NULL,37,54,38,53,G00001182,NULL,919,1665
993327.66506760,212911.49532252,225,E  46 ST,NULL,401,417,NULL,NULL,G00001187,NULL,999,999
984565.84253222,205935.18037098,226,WASHINGTON SQ W,NULL,NULL,NULL,29,32,G00001188,NULL,807,807
993960.57587527,227580.70072814,227,C P  W,NULL,350,359,NULL,NULL,G00001197,NULL,593,507
1000709.81090039,231748.79770689,228,PARK AVE,NULL,NULL,NULL,1741,1757,G00001210,NULL,439,420
1000609.63705218,232711.46458077,229,MADISON AVE,NULL,1934,1944,1931,1945,G00001215,NULL,436,436
994924.11709122,234953.75028647,230,BROADWAY,NULL,NULL,NULL,NULL,NULL,G00001216,NULL,724,724
1001285.38848939,232968.10629189,231,PARK AVE,NULL,1840,1856,NULL,NULL,G00001235,NULL,435,424
1002114.48017109,250021.87910685,232,BENNETT AVE,NULL,NULL,NULL,NULL,NULL,G00001238,NULL,678,678
997736.36212289,240028.85463756,233,BROADWAY,NULL,3501,3517,NULL,NULL,G00001244,NULL,702,702
1001021.24400456,238518.08190452,234,ADAM POWELL BLVD,NULL,2480,2498,NULL,NULL,G00001250,NULL,520,516
985134.97689264,205830.05590931,235,FIFTH AVE,NULL,NULL,NULL,NULL,NULL,G00001255,NULL,827,822
989761.83492893,206954.79135668,236,FIRST AVE,NULL,329,343,328,340,G00001260,NULL,970,951
989482.25822430,215786.13491444,237,6 AVE,NULL,847,867,850,866,G00001261,NULL,1279,1177
983635.12933459,208312.34917305,238,GREENWICH AVE,NULL,115,129,102,118,G00001264,NULL,169,168
981850.31991209,197689.17356906,239,NASSAU ST,NULL,57,69,56,68,G00001265,NULL,10,10
993839.09793580,221532.17296302,240,FIFTH AVE,NULL,NULL,NULL,938,948,G00001274,NULL,1181,1159
993804.24564330,215030.80177943,241,E  54 ST,NULL,301,357,300,358,G00001276,NULL,1086,1092
987650.77402639,203138.51929764,242,FIRST AVE,NULL,33,49,32,48,G00001281,NULL,896,1682
991928.71150068,215921.11003819,243,PARK AVE,NULL,NULL,NULL,381,397,G00001284,NULL,505,1132
1002510.07572730,248126.24201775,244,W  179 ST,NULL,528,NULL,529,559,G00001285,NULL,681,693
1006571.93795563,254815.34212489,245,SHERMAN AVE,NULL,NULL,NULL,NULL,NULL,G00001286,NULL,674,674
988743.82449777,210193.36575223,246,PARK AVE S,FOURTH AVE,NULL,NULL,403,419,G00001297,NULL,1267,1264
988343.01493192,223972.86509606,247,RIVERSIDE DR,NULL,NULL,NULL,6,16,G00001301,NULL,1387,1387
995590.48058789,221014.96943706,248,E  77 ST,NULL,145,179,174,180,G00001306,NULL,1154,1142
984831.73499490,212957.32899575,249,9 AVE,NULL,353,369,352,370,G00001313,NULL,1219,1219
1007573.53208105,256930.79360264,250,W  218 ST,NULL,NULL,NULL,NULL,NULL,G00001314,NULL,674,673
984464.11684985,207651.76371602,251,W  12 ST,NULL,101,172,101,181,G00001317,NULL,160,160
990582.27386439,227049.44689171,252,W  END AVE,NULL,561,579,562,578,G00001325,NULL,746,746
988649.96002014,211126.73658889,253,MADISON AVE,NULL,134,150,135,151,G00001327,NULL,1266,1266
