OBJECTID,MN_STREET1880_FULL_STREE,MN_STREET1880_Y1880NAMESTREET,MN_STREET1880_Y1880LEFT_LOW,MN_STREET1880_Y1880LEFT_HIGH,MN_STREET1880_Y1880RIGHT_LOW,MN_STREET1880_Y1880RIGHT_HIGH,MN_STREET1880_JOINID,MN_STREET1880_Y1880NAMEALT,MN_STREET1880_MINUS_ED_ED,MN_STREET1880_PLUS_ED_ED
145,ORCHARD ST,ORCHARD ST,91,115,90,114,G00010145,,205,205
146,ALLEN ST,ALLEN ST,91,115,90,114,G00010146,,206,205
147,ELDRIDGE ST,ELDRIDGE ST,101,119,102,132,G00010147,,206,206
148,FORSYTH ST,FORSYTH ST,111,133,110,134,G00010148,,207,206
149,CHRYSTIE ST,CHRYSTIE ST,123,151,122,148,G00010149,,207,207
150,E 25 ST,E 25 ST,401,441,400,440,G00010150,,427,427
151,E 23 ST,E 23 ST,,,500,530,G00010151,,427,426
152,E 21 ST,E 21 ST,601,603,600,602,G00010152,,425,424
153,E 22 ST,E 22 ST,501,541,,,G00010153,,426,425
154,E 20 ST,E 20 ST,601,611,600,610,G00010154,,424,414
155,E 19 ST,E 19 ST,601,631,600,630,G00010155,,414,414
156,E 16 ST,E 16 ST,701,745,700,744,G00010156,,0,0
157,E 16 ST,E 16 ST,801,805,800,804,G00010157,,0,0
158,EAST ST,EAST ST,,,,,G00010158,,0,0
159,EAST ST,EAST ST,,,,,G00010159,,0,0
160,EAST ST,EAST ST,,,,,G00010160,,0,0
161,AVE D,AVE D,,,,,G00010161,,0,0
162,DELANCEY ST,DELANCEY ST,2,18,1,19,G00010162,,208,207
163,BOWERY,BOWERY,148,180,151,181,G00010163,,57,207
164,BOWERY,BOWERY,182,188,183,193,G00010164,,57,208
165,W 46 ST,W 46 ST,600,660,601,659,G00010165,,444,446
166,W 45 ST,W 45 ST,600,660,601,659,G00010166,,443,444
167,W 44 ST,W 44 ST,600,660,601,661,G00010167,,443,443
168,W 43 ST,W 43 ST,600,660,601,661,G00010168,,443,443
169,AVE B,AVE B,,,,,G00010169,,613,613
170,AVE B,AVE B,,,,,G00010170,,613,613
171,E  73 ST,E  73 ST,501,525,500,524,G00010171,,613,613
172,AVE B,AVE B,,,,,G00010172,,613,613
173,E  74 ST,E  74 ST,501,541,500,540,G00010173,,613,613
