OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1850Valid,y1850_gcheck,y1850DirStreet,y1850NameStreet,y1850Left_Low,y1850Left_High,y1850Right_Low,y1850Right_High,y1850Issue,y1850ParityLeft,y1850ParityRight,y1850Unopened,y1850NameALT,y1850_hnyc_street,JoinID_1850,y1880Valid,y1880_gcheck,y1880DirStreet,y1880NameStreet,y1880Left_Low,y1880Left_High,y1880Right_Low,y1880Right_High,y1880Issue,y1880ParityLeft,y1880ParityRight,y1880Unopened,y1880NameALT,y1880_hnyc_street,JoinID_1880,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,y1910_hnyc_street,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,y1850WardRight,y1880ED_Left,y1880ED_Right,y1910ED_Left,y1910ED_Right,y1850WardLeft
26,{00000000-0000-0000-0000-000000000000},G00010026,NY,New York,Manhattan,W 32 ST,1,1,,,244,308,245,309,O,,,,,,,1,1,,,400,462,401,469,,,,,,W 32 ST,,0,1,,,,,,,,,,,,,,900.525449923003976,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:09:53,amv2173_columbia,900.525410281758468,7/22/2019 17:22:53,hnyc_columbia,2/4/2020 20:30:37,msl2215_columbia,,,,,,,
27,{00000000-0000-0000-0000-000000000000},G00010027,NY,New York,Manhattan,,1,1,,,2,20,1,17,,,,,,,,1,1,,CHAMBERS ST,2,20,1,21,,,,,,CHAMBERS ST,,0,1,,,,,,,,,,,,,,364.578267626044010,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:04:36,amv2173_columbia,364.578251584429381,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
28,{00000000-0000-0000-0000-000000000000},G00010028,NY,New York,Manhattan,,1,1,,CITY HALL PL,2,10,1,9,,,,,,,,1,1,,,2,14,1,9,,,,,,CITY HALL PL,,0,1,,,,,,,,,,,,,,298.525558287007982,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:04:37,amv2173_columbia,298.525545139995756,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:25:28,sk4562_columbia,,,,,,,
29,{00000000-0000-0000-0000-000000000000},G00010029,NY,New York,Manhattan,,1,1,,,,,5,5,,,M,,,,,1,1,,TEMPLE ST,7,11,8,12,,,,,,TEMPLE ST,,0,1,,,,,,,,,,,,,,124.670215958198000,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:03:47,amv2173_columbia,124.670210474238630,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
30,{00000000-0000-0000-0000-000000000000},G00010030,NY,New York,Manhattan,,1,1,,,2,4,1,3,,,,,,,,1,1,,THAMES ST,2,4,1,3,,,,,,THAMES ST,,0,1,,,,,,,,,,,,,,197.186285266088987,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:03:47,amv2173_columbia,197.186276589722979,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
31,{00000000-0000-0000-0000-000000000000},G00010031,NY,New York,Manhattan,,1,1,,,6,10,5,11,,,,,,,,1,1,,THAMES ST,6,12,5,11,,,,,,THAMES ST,,0,1,,,,,,,,,,,,,,146.228382656702991,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:03:48,amv2173_columbia,146.228376213569504,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
32,{00000000-0000-0000-0000-000000000000},G00010032,NY,New York,Manhattan,,1,1,,,109,111,108,114,,,,,,,,1,1,,BROADWAY,111,113,108,112,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,90.906100556424505,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:03:48,amv2173_columbia,90.906096561786043,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
33,{00000000-0000-0000-0000-000000000000},G00010033,NY,New York,Manhattan,,1,1,,,113,119,116,124,,,,,,,,1,1,,BROADWAY,115,129,114,124,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,120.424769262734003,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 2:39:53,amv2173_columbia,120.424763961864869,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
35,{00000000-0000-0000-0000-000000000000},G00010035,NY,New York,Manhattan,,1,1,,,239,249,,,,M,,,,,,1,1,,BROADWAY,239,249,,,,,,,,BROADWAY,,0,1,,,,,,,,,,,,,,226.310707404775997,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:04:37,amv2173_columbia,226.310697443403882,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
36,{00000000-0000-0000-0000-000000000000},G00010036,NY,New York,Manhattan,,0,1,,,,,,,,,,,,,,1,1,,DUANE ST,36,60,39,59,,,,,,DUANE ST,,0,1,,,,,,,,,,,,,,305.743452773597994,7/10/2019 23:07:10,dpm2159_columbia,7/11/2019 1:02:12,amv2173_columbia,305.743439304450021,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
37,{00000000-0000-0000-0000-000000000000},G00010037,NY,New York,Manhattan,,1,1,,,513,533,514,534,,,,,,,,1,1,,PEARL ST,513,535,514,534,,,,,,PEARL ST,,0,1,,,,,,,,,,,,,,320.999908111218019,7/10/2019 23:07:10,dpm2159_columbia,7/11/2019 4:50:27,amv2173_columbia,320.999893970455560,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
38,{00000000-0000-0000-0000-000000000000},G00010038,NY,New York,Manhattan,,1,1,,,21,49,20,44,,,,,,,,1,1,,THOMPSON ST,21,47,22,48,,,,,,THOMPSON ST,,0,1,,,,,,,,,,,,,,417.307038372129000,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:07:02,amv2173_columbia,417.307019994703865,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
39,{00000000-0000-0000-0000-000000000000},G00010039,NY,New York,Manhattan,,1,1,,ELM ST,178,214,181,213,,,,,,,,1,1,,ELM ST,176,210,177,209,,,,,,ELM ST,,0,1,,,,,,,,,,,,,,539.971213529825036,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:55:37,amv2173_columbia,539.971189760816287,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
40,{00000000-0000-0000-0000-000000000000},G00010040,NY,New York,Manhattan,,1,1,,MARION ST,2,32,1,33,,,,,,,,1,1,,MARION ST,2,38,1,39,,,,,,MARION ST,,0,1,,,,,,,,,,,,,,553.981872462091019,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:55:38,amv2173_columbia,553.981848083657496,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 19:18:20,sk4562_columbia,,,,,,,
41,{00000000-0000-0000-0000-000000000000},G00010041,NY,New York,Manhattan,,1,1,,,179,213,178,212,,,,,,,,1,1,,MULBERRY ST,177,211,178,210,,,,,,MULBERRY ST,,0,1,,,,,,,,,,,,,,550.399726069747999,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:55:38,amv2173_columbia,550.399826354654351,7/22/2019 17:22:53,hnyc_columbia,2/24/2020 19:19:19,amv2173_columbia,,,,,,,
42,{00000000-0000-0000-0000-000000000000},G00010042,NY,New York,Manhattan,,1,1,,,175,205,174,206,,,,,,,,1,1,,MOTT ST,171,205,172,206,,,,,,MOTT ST,,0,1,,,,,,,,,,,,,,547.229276446258041,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:55:39,amv2173_columbia,547.229691119285235,7/22/2019 17:22:53,hnyc_columbia,2/24/2020 19:18:45,amv2173_columbia,,,,,,,
43,{00000000-0000-0000-0000-000000000000},G00010043,NY,New York,Manhattan,,1,1,,,125,157,124,156,,,,,,,,1,1,,ELIZABETH ST,129,163,130,164,,,,,,ELIZABETH ST,,0,1,,,,,,,,,,,,,,547.121653777566962,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 18:55:39,amv2173_columbia,547.122146546847262,7/22/2019 17:22:53,hnyc_columbia,2/24/2020 19:18:01,amv2173_columbia,,,,,,,
44,{00000000-0000-0000-0000-000000000000},G00010044,NY,New York,Manhattan,,1,1,,,74,88,75,89,,,,,,,,1,1,,ELM ST,80,90,79,89,,,,,,ELM ST,,0,1,,,,,,,,,,,,,,213.328367086735994,7/10/2019 23:07:10,dpm2159_columbia,7/12/2019 19:07:14,amv2173_columbia,213.328357690056521,7/22/2019 17:22:53,hnyc_columbia,1/31/2020 20:26:03,sk4562_columbia,,,,,,,
45,{00000000-0000-0000-0000-000000000000},G00010045,NY,New York,Manhattan,,1,1,,,,,,,A,,,,,,,1,1,,FIRST AVE,873,889,876,892,,,,,,FIRST AVE,,0,1,,,,,,,,,,,,,,251.787128421700004,7/10/2019 23:07:10,dpm2159_columbia,7/11/2019 1:11:32,rse2121_columbia,251.787117347917274,7/22/2019 17:22:53,hnyc_columbia,3/15/2020 14:43:59,emc2199_columbia,,,,,,,
