ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49,Street50,Street51,Street52,Street53,Street54,Street55,Street56,Street57,Street58,Street59,Street60,Street61,Street62,Street63,Street64,Street65,Street66,Street67,Street68,Street69,Street70,Street71,Street72,Street73,Street74
21,BEACH,CANAL,DESBROSSES,HUBERT,HUDSON,JAMES,LAIGHT,MADISON,NEW BOWERY,PARK ROW,ROOSEVELT,SAINT JOHNS LN,THOMPSON,VARICK,VESTRY,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,CHATHAM SQ,COLLISTER,DESBROSSES,GREENWICH,HUBERT,HUDSON,JAMES,LAIGHT,MADISON,NEW BOWERY,OLIVER,PARK ROW,VESTRY,WASHINGTON,WEST,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,CANAL,CATHERINE,COLLISTER,DESBROSSES,GREENWICH,HUDSON,LAIGHT,MADISON,OAK,OLIVER,RENWICK,VESTRY,WATTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,CANAL,DESBROSSES,GREENWICH,HOBOKEN,HUDSON RIVER,JAMES,MADISON,OAK,OLIVER,WASHINGTON,WATTS,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,CATHERINE,CATHERINE SL,CHAMBERS,CHERRY,HAMILTON,JAMES,MADISON,NULL,OAK,OLIVER,ROOSEVELT,SAINT JAMES PL,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,BOWERY,CATHERINE,CHATHAM,CHERRY,DIVISION,DOYERS,E BROADWAY,HAMILTON,HENRY,MADISON,MONROE,MOTT,NEW BOWERY,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,HENRY,JAMES,MADISON,NEW BOWERY,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,CATHERINE,CHATHAM,E BROADWAY,HENRY,JAMES,MADISON,MOTT,MULBERRY,NEW BOWERY,OLIVER,ROOSEVELT,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,BATAVIA,CATHERINE SLIP,CHERRY,JAMES,JAMES SLIP,MADISON,NEW BOWERY,NEW CHAMBERS,OAK,OLIVER,ROOSEVELT,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BATAVIA,BROADWAY,CANAL,CHERRY,CHURCH,DUANE,FRANKLIN,FRANKLIN PL,JAMES,JAMES SLIP,LEONARD,LISPENARD,NEW CHAMBERS,READE,ROOSEVELT,THOMAS,TRIMBLE PL,W BROADWAY,WALKER,WATER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BATAVIA,BEACH,BROADWAY,CHERRY,ERICSSON PL,FRANKLIN,FRONT,GREENWICH,HUDSON,JAMES,JAMES SLIP,NEW CHAMBERS,NO MOORE,OAK,OLIVER,ROOSEVELT,SOUTH,VARICK,W BROADWAY,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BEACH,CAROLINE,CHERRY,DOVER,DUANE,FRANKLIN,FRANKLIN SQ,FRONT,GREENWICH,HARRISON,JAY,NO MOORE,NULL,PECK SL,READE,RIVER FRONT,ROOSEVELT,SOUTH,WASHINGTON,WATER,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,BATAVIA,CHERRY,CHESTNUT,DOVER,DUANE,FRANKFORT,FRANKLIN,FRANKLIN SQ,GREENWICH,HAGUE,HARRISON,HUDSON,JAY,LEONARD,NEW BOWERY,NEW CHAMBERS,OAK,PEARL,READE,ROOSEVELT,STAPLE,THOMAS,W BROADWAY,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,CANAL,CHESTNUT,CLIFF,DESBROSSES,FRANKFORT,FRANKLIN SQ,GOLD,GREENWICH,HAGUE,HUDSON,JACOB,MADISON,NEW BOWERY,NEW CHAMBERS,OAK,PEARL,ROOSEVELT,ROSE,VANDEWATER,VESTRY,WASHINGTON,WASHINTON,WATTS,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
