Name,Full_Name,Name1880,AltName,Left_Low,Left_High,Right_Low,Right_High,ED_Minus,ED_Plus,ObjectID,JoinId
7 AVE,7 AVE,7 AVE,NA,2092,2112,2093,2113,536,654,8333,G00018333
7 AVE,7 AVE,7 AVE,NA,2114,2134,2115,2135,536,654,8334,G00018334
7 AVE,7 AVE,7 AVE,NA,2136,2156,2137,2157,536,654,8335,G00018335
7 AVE,7 AVE,7 AVE,NA,2158,2178,2159,2179,536,654,8336,G00018336
7 AVE,7 AVE,7 AVE,NA,2180,2200,2181,2201,536,654,8337,G00018337
7 AVE,7 AVE,7 AVE,NA,2202,2222,2203,2223,536,654,8338,G00018338
7 AVE,7 AVE,7 AVE,NA,2224,2244,2225,2245,536,654,8339,G00018339
W 137,W 137,W 137,NA,100,180,101,175,654,654,8340,G00018340
7 AVE,7 AVE,7 AVE,NA,2246,2266,2247,2267,536,654,8341,G00018341
W 138,W 138,W 138,NA,100,150,101,145,654,654,8342,G00018342
W 137,W 137,W 137,NA,200,270,201,271,536,536,8343,G00018343
7 AVE,7 AVE,7 AVE,NA,2268,2288,2269,2289,536,654,8344,G00018344
W 139,W 139,W 139,NA,100,144,101,153,654,654,8345,G00018345
W 138,W 138,W 138,NA,200,270,201,271,536,536,8346,G00018346
7 AVE,7 AVE,7 AVE,NA,2290,2310,2291,2311,536,654,8347,G00018347
W 140,W 140,W 140,NA,100,152,101,173,654,654,8348,G00018348
W 139,W 139,W 139,NA,200,272,201,273,536,536,8349,G00018349
7 AVE,7 AVE,7 AVE,NA,2312,2332,2313,2333,536,654,8350,G00018350
W 141,W 141,W 141,NA,100,174,101,173,654,654,8351,G00018351
W 140,W 140,W 140,NA,200,272,201,273,536,536,8352,G00018352
7 AVE,7 AVE,7 AVE,NA,2334,2354,2335,2355,536,654,8353,G00018353
W 142,W 142,W 142,NA,100,160,101,159,654,654,8354,G00018354
W 141,W 141,W 141,NA,200,272,201,273,536,536,8355,G00018355
7 AVE,7 AVE,7 AVE,NA,2356,2376,2357,2377,536,654,8356,G00018356
W 143,W 143,W 143,NA,100,152,101,167,654,654,8357,G00018357
W 142,W 142,W 142,NA,200,272,201,273,536,536,8358,G00018358
7 AVE,7 AVE,7 AVE,NA,2378,2398,2379,2399,536,654,8359,G00018359
W 144,W 144,W 144,NA,100,164,101,153,654,654,8360,G00018360
W 143,W 143,W 143,NA,200,272,201,273,536,536,8361,G00018361
7 AVE,7 AVE,7 AVE,NA,2400,2420,2401,2421,536,654,8362,G00018362
W 145,W 145,W 145,NA,100,160,101,167,654,654,8363,G00018363
W 144,W 144,W 144,NA,200,272,201,273,536,536,8364,G00018364
7 AVE,7 AVE,7 AVE,NA,2422,2442,2423,2443,536,654,8365,G00018365
W 146,W 146,W 146,NA,100,164,101,165,654,654,8366,G00018366
W 145,W 145,W 145,NA,200,272,201,273,536,536,8367,G00018367
7 AVE,7 AVE,7 AVE,NA,2444,2464,2445,2465,536,654,8368,G00018368
W 147,W 147,W 147,NA,100,164,101,165,654,654,8369,G00018369
W 146,W 146,W 146,NA,200,272,201,275,536,536,8370,G00018370
7 AVE,7 AVE,7 AVE,NA,2466,2486,2467,2487,536,654,8371,G00018371
W 148,W 148,W 148,NA,100,164,101,165,654,654,8372,G00018372
W 147,W 147,W 147,NA,200,272,201,273,536,536,8373,G00018373
7 AVE,7 AVE,7 AVE,NA,2488,2508,2489,2509,536,654,8374,G00018374
W 149,W 149,W 149,NA,100,164,101,165,654,654,8375,G00018375
W 148,W 148,W 148,NA,200,236,201,251,536,536,8376,G00018376
7 AVE,7 AVE,7 AVE,NA,2510,2530,2511,2531,536,654,8377,G00018377
W 150,W 150,W 150,NA,100,150,101,151,654,654,8378,G00018378
W 149,W 149,W 149,NA,200,252,201,251,536,536,8379,G00018379
7 AVE,7 AVE,7 AVE,NA,2532,2552,2533,2553,536,654,8380,G00018380
W 151,W 151,W 151,NA,170,190,171,191,654,654,8381,G00018381
W 150,W 150,W 150,NA,200,250,201,295,536,536,8382,G00018382
7 AVE,7 AVE,7 AVE,NA,2554,2574,2555,2575,536,654,8383,G00018383
W 152,W 152,W 152,NA,180,186,181,187,654,654,8384,G00018384
