ED,street
122,VARICK WY
130,TOMPKINS
132,MONROE
160,VARICK PL
161,MINETTA PL
162,WASHINGTON PL
163,WASHINGTON N SQ
165,WASHINGTON PL
166,WASHINGTON W PL
170,GARDEN ROW
172,MERCER
182,BROADWAY
192,FORSYTH
194,PIKE
220,JACKSON PL
222,MINETTA LN
223,WASHINGTON W PL
230,WHITE STAR PIER
243,LITTLE WEST 12
244,BLOOMFIELD
253,SUFFOLK
254,ORCHARD
291,PARK AVE
295,BROADWAY
296,PARK AVE
307,WILLETT
322,LEWIS
474,MARTIN TER
521,9 AVE
576,W 51
578,E 54
588,E 62
654,E 134
655,E 140
656,LINCOLN AVE
657,BROWN PL
659,E 142
660,3 AVE N
661,MORRIS AVE
662,BERGEN AVE
663,BEACH AVE
664,E 158
665,GROVE AVE
666,ELTON AVE
667,COLLEGE AVE
668,BOSTON RD
669,BROADWAY AVE
670,FRANKLIN AVE
671,E 156
672,COMMERCE AVE
673,4 AVE
674,LOCUST AVE
675,BROADWAY AVE
676,CENTRAL AVE
677,CAMBRELING AVE
678,ANDREW PL
680,MACCOMB
681,MOSHOLU AVE
10,JACOB
13,PARK ROW
14,MISSION PL
15,JAY
26,MONROE
35,ROSE
37,PARK ROW
38,FRANKFORT
47,LISPENARD
65,CROSBY
66,E 7
71,UNION E SQ
74,FORSYTH
122,VESTRY
131,MANGIN
132,RACHEL LN
146,WILLETT
158,WINTHROP PL
162,WASHINGTON E SQ
165,WASHINGTON E SQ
172,UNION CT
181,UNION SQ
182,UNION SQ
186,UNION SQ
220,MINETTA
242,LITTLE WEST 12
244,GANSEVOORT
257,SHINBURG ALY
298,PARK AVE
517,BROADWAY
570,W 44
571,W 48
588,W 62
604,AVE B
625,W 104
631,6 AVE
639,6 AVE
650,6 AVE
655,E 141
656,SOUTHERN BLVD
657,LINCOLN AVE
659,E 144
660,ALEXANDER AVE
661,RAILROAD AVE
662,BROOK AVE
663,BERGEN AVE
664,E 159
665,MELROSE AVE
666,MELROSE AVE
667,COURTLANDT AVE
668,BROOK AVE
669,BROOK AVE
670,FULTON AVE
671,E 158
672,CROMWELL AVE
673,AVE A
674,MADISON AVE
675,CATHARINE
676,CENTRAL
677,CENTRAL AVE
678,AQUEDUCT AVE
680,MOSHOLU AVE
681,OLD ALBANY POST RD
2,BROADWAY AVE
9,GOLD
21,YORK
26,MOTT
36,PARK ROW
38,MANHATTAN W PL
43,NEW BOWERY
65,ELIZABETH
67,BOWERY
73,W 23
93,WILLETT
161,SAINT CLEMENTS PL
