Name,Name1850,AltName,Ward_Left,Left_Low,Left_High,Right_Low,Right_High,ObjectID,JoinId,Full_Name,Ward_Right
NA,NA,NA,NA,NA,NA,NA,NA,191,G00010191,NA,NA
NA,NA,NA,12,NA,NA,NA,NA,193,G00010193,NA,19
NA,NA,NA,12,NA,NA,NA,NA,194,G00010194,NA,NA
NA,NA,NA,12,NA,NA,NA,NA,195,G00010195,NA,12
NA,NA,NA,12,NA,NA,NA,NA,200,G00010200,NA,12
NA,NA,NA,12,NA,NA,NA,NA,201,G00010201,NA,12
NA,NA,NA,12,NA,NA,NA,NA,202,G00010202,NA,12
NA,NA,NA,12,NA,NA,NA,NA,203,G00010203,NA,12
NA,NA,NA,12,NA,NA,NA,NA,204,G00010204,NA,12
NA,NA,NA,12,NA,NA,NA,NA,205,G00010205,NA,12
NA,NA,NA,12,NA,NA,NA,NA,206,G00010206,NA,12
NA,NA,NA,12,NA,NA,NA,NA,207,G00010207,NA,12
NA,NA,NA,12,NA,NA,NA,NA,212,G00010212,NA,12
NA,NA,NA,12,NA,NA,NA,NA,213,G00010213,NA,12
NA,NA,NA,12,NA,NA,NA,NA,214,G00010214,NA,12
NA,NA,NA,12,NA,NA,NA,NA,215,G00010215,NA,12
NA,NA,NA,12,NA,NA,NA,NA,223,G00010223,NA,12
NA,NA,NA,12,NA,NA,NA,NA,225,G00010225,5 AVE,12
NA,NA,NA,12,NA,NA,NA,NA,226,G00010226,NA,12
NA,NA,NA,12,NA,NA,NA,NA,257,G00010257,NA,12
NA,NA,NA,12,NA,NA,NA,NA,260,G00010260,NA,12
NA,NA,NA,NA,NA,NA,NA,NA,261,G00010261,NA,NA
NA,NA,NA,12,NA,NA,NA,NA,262,G00010262,NA,12
NA,NA,NA,12,NA,NA,NA,NA,263,G00010263,NA,12
NA,NA,NA,12,NA,NA,NA,NA,264,G00010264,NA,12
NA,NA,NA,12,NA,NA,NA,NA,266,G00010266,NA,12
STONE,STONE,NA,1,63,69,62,70,267,G00000001,NA,1
GOLD,GOLD,NA,2,19,23,20,24,268,G00000002,NA,2
8 AVE,8 AVE,NA,16,373,389,362,378,270,G00000004,NA,16
E 61,E 61,NA,19,NA,NA,NA,NA,271,G00000005,NA,19
GREENWICH,GREENWICH,NA,9,750,766,753,769,272,G00000006,NA,9
3 AVE,3 AVE,NA,19,1124,1140,NA,NA,273,G00000007,NA,19
7 AVE,7 AVE,NA,16,98,106,97,109,275,G00000009,NA,16
PARK AVE,PARK AVE,NA,19,NA,NA,NA,NA,276,G00000010,NA,19
4 AVE,4 AVE,NA,15,74,90,75,91,278,G00000012,NA,17
WALL,WALL,NA,1,8,20,9,21,281,G00000015,NA,1
LEX AVE,LEX AVE,NA,19,NA,NA,379,389,285,G00000019,NA,19
BLEECKER,BLEECKER,NA,9,384,396,385,393,287,G00000021,NA,9
LEROY,LEROY,NA,9,42,68,41,67,288,G00000022,NA,9
LENOX AVE,LENOX AVE,NA,12,NA,NA,NA,NA,292,G00000026,NA,12
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,293,G00000028,NA,12
GRAND,GRAND,NA,14,164,172,165,173,294,G00000029,NA,14
E 13,E 13,NA,15,41,63,38,62,299,G00000035,NA,15
W 25,W 25,NA,16,238,304,239,303,304,G00000040,NA,16
BROADWAY ALY,BROADWAY ALY,NA,18,NA,NA,NA,NA,309,G00000045,NA,18
W 34,W 34,NA,16,102,120,103,119,310,G00000046,NA,16
AMSTERDAM AVE,AMSTERDAM AVE,NA,12,NA,NA,NA,NA,311,G00000047,10 AVE,12
LAFAYETTE CT,LAFAYETTE CT,NA,17,NA,NA,NA,NA,312,G00000048,NA,17
MULBERRY,MULBERRY,NA,15,285,309,292,308,314,G00000050,NA,15
ELDRIDGE,ELDRIDGE,NA,10,121,145,124,152,316,G00000052,NA,10
E 46,E 46,NA,19,161,187,162,188,317,G00000053,NA,19
BEDFORD,BEDFORD,NA,9,23,37,24,34,318,G00000054,NA,9
W 115,W 115,NA,12,NA,NA,NA,NA,320,G00000056,NA,12
3 AVE,3 AVE,NA,12,NA,NA,NA,NA,321,G00000057,NA,12
W 30,W 30,NA,16,56,118,53,113,323,G00000059,NA,16
STATE,STATE,NA,1,NA,NA,1,14,328,G00000064,NA,1
FULTON,FULTON,NA,2,20,24,19,25,332,G00000068,NA,2
HOWARD,HOWARD,NA,14,1,9,2,10,334,G00000070,NA,14
3 AVE,3 AVE,NA,19,NA,NA,NA,NA,337,G00000073,NA,19
UNION W SQ,UNION W SQ,NA,18,1,15,NA,NA,338,G00000074,NA,18
2 AVE,2 AVE,NA,17,69,85,68,84,339,G00000075,NA,17
W 30,W 30,NA,16,292,352,293,353,340,G00000076,NA,16
W 4,W 4,NA,15,327,339,328,340,342,G00000078,NA,15
E 72,E 72,NA,19,NA,NA,NA,NA,343,G00000079,NA,19
SAINT NICHOLAS AVE,SAINT NICHOLAS AVE,NA,12,NA,NA,NA,NA,344,G00000080,11 AVE,12
1 AVE,1 AVE,NA,18,387,401,384,402,345,G00000081,NA,18
W 10,W 10,NA,9,52,84,53,85,346,G00000082,AMOS,9
5 AVE,5 AVE,NA,12,NA,NA,NA,NA,348,G00000084,NA,12
W 4,W 4,NA,9,119,131,120,126,349,G00000085,NA,9
W 49,W 49,NA,19,2,66,1,65,351,G00000087,NA,19
BETHUNE,BETHUNE,NA,9,1,25,2,26,352,G00000088,NA,9
RIVINGTON,RIVINGTON,NA,11,268,288,269,289,353,G00000089,NA,13
W 171,W 171,NA,12,NA,NA,NA,NA,355,G00000091,NA,12
LENOX AVE,LENOX AVE,NA,12,NA,NA,NA,NA,358,G00000094,NA,12
PARK AVE,PARK AVE,NA,12,NA,NA,NA,NA,359,G00000095,NA,12
2 AVE,2 AVE,NA,19,NA,NA,NA,NA,360,G00000096,NA,19
5 AVE,5 AVE,NA,12,NA,NA,NA,NA,362,G00000098,NA,12
E 17,E 17,NA,18,2,22,1,21,366,G00000102,NA,18
E 60,E 60,NA,19,NA,NA,NA,NA,367,G00000103,NA,19
W 15,W 15,NA,16,186,242,185,243,368,G00000104,NA,16
SHINBONE ALY,SHINBONE ALY,NA,15,NA,NA,NA,NA,369,G00000105,JONES ALY,15
E 65,E 65,NA,19,NA,NA,NA,NA,370,G00000106,NA,19
MADISON AVE,MADISON AVE,NA,12,NA,NA,NA,NA,372,G00000108,NA,12
