OBJECTID,MN_STREET1850_FULL_STREE,MN_STREET1850_Y1850NAMESTREET,MN_STREET1850_Y1850LEFT_LOW,MN_STREET1850_Y1850LEFT_HIGH,MN_STREET1850_Y1850RIGHT_LOW,MN_STREET1850_Y1850RIGHT_HIGH,MN_STREET1850_JOINID,MN_STREET1850_Y1850NAMEALT,Ward_Right_1850,Ward Left 1850
5500,,JOHN ST,67,87,70,88,G00005384,,2,2
5503,,FIRST AVE,,,,,G00005387,,19,19
5504,,W 168 ST,,,,,G00005388,,12,12
5507,AMITY ST,W THIRD ST,62,76,61,77,G00005391,,15,15
5509,HAMMOND ST,W 11 ST,108,136,107,135,G00005393,,9,9
5510,,JOHN ST,33,49,32,50,G00005394,,2,2
5512,,HUDSON ST,1,7,,,G00005396,,3,3
5515,,E 32 ST,1,23,2,24,G00005399,,18,18
5516,LONDON TERRACE,W 23 ST,258,324,1,71,G00005400,W 23RD ST,16,16
5517,,BOWERY,90,122,95,121,G00005401,,10,14
5518,,ELEVENTH AVE,529,545,528,544,G00005402,,19,19
5519,ELM ST,LAFAYETTE ST,128,152,129,149,G00005403,,14,14
5520,,W 138 ST,,,,,G00005405,,12,12
5521,,E 20 ST,,,1,12,G00005406,,18,18
5522,,W 4 ST,35,49,36,50,G00005407,,9,9
5526,,WHITE ST,80,96,81,95,G00005411,,6,6
5527,,W 19 ST,2,68,1,67,G00005412,,18,18
5528,,E 23 ST,125,163,126,164,G00005413,,18,18
5533,,CHURCH ST,162,172,163,173,G00005418,,5,5
5534,,E 85 ST,,,,,G00005419,,19,19
5535,,GOUVERNEUR LN,1,3,2,4,G00005420,,1,1
5537,,W 111 ST,,,,,G00005422,,12,12
5539,,PLEASANT AVE,,,,,G00005424,,12,12
5540,,TENTH AVE,327,341,328,342,G00005425,,16,16
5541,,E 34 ST,103,133,102,128,G00005426,,18,18
5542,,HUDSON ST,197,211,196,208,G00005427,,5,5
5544,,WHITE ST,32,56,33,57,G00005429,,5,5
5546,,W 4 ST,,,20,24,G00005431,,9,9
5549,,GRAMERCY PARK S,,,13,19,G00005434,,18,18
5552,,GREENWICH AVE,7,19,10,18,G00005437,,9,9
5553,,E 21 ST,1,15,2,14,G00005438,,18,18
5554,,BROOME ST,399,403,400,404,G00005439,,14,14
5555,,PARK AVE,,,629,643,G00005440,,19,19
5556,,E 41 ST,101,121,104,122,G00005441,,19,19
5558,,BROOME ST,147,159,146,160,G00005443,,13,13
5559,,EIGHTH AVE,31,47,,,G00005444,,9,9
5560,,W 182 ST,,,,,G00005445,,12,12
5562,,LITTLE W 12 ST,,,,,G00005447,,9,9
5565,,C AVE,123,139,122,138,G00005450,,11,11
5566,,E 92 ST,,,,,G00005451,,12,12
5568,,ELEVENTH AVE,,,462,480,G00005453,,19,19
5569,,W 13 ST,174,178,175,179,G00005454,,9,9
5570,,FIFTH AVE,156,160,153,161,G00005455,,18,18
5572,,ELEVENTH AVE,511,527,510,526,G00005457,,19,19
5573,,BROOME ST,291,305,292,306,G00005458,,10,10
5574,,W 176 ST,,,,,G00005459,,12,12
5575,TENTH AVE ,AMSTERDAM AVE,,,,,G00005460,,12,12
5579,,CHURCH ST,32,40,31,39,G00005464,,3,3
5581,,WASHINGTON MEWS,,,,,G00005466,,15,15
5582,,DUANE ST,164,182,,,G00005467,,5,5
5583,,PARK AVE,,,,,G00005468,,12,12
5585,,W 178 ST,,,,,G00005470,,12,12
5587,,W END AVE,,,,,G00005472,,19,19
5588,,COLUMBUS AVE,,,,,G00005473,,12,12
5589,,FIFTH AVE,,,,,G00005474,,19,19
5590,,BROAD ST,61,67,70,72,G00005475,,1,1
5591,,RIVINGTON ST,196,214,197,215,G00005476,,13,11
5592,,FIRST AVE,,,,,G00005477,,19,19
5594,,W 173 ST,,,,,G00005479,,12,12
5595,,AMSTERDAM AVE,,,,,G00005480,,19,19
5598,,E SEVENTH ST,1,5,2,4,G00005483,,17,17
5599,,E 3 ST,41,93,40,92,G00005484,,17,17
5600,,W 50 ST,52,102,51,101,G00005485,,19,19
5604,,FIFTH AVE,,,,,G00005489,,19,19
5605,,JOHN ST,103,121,104,122,G00005490,,2,2
5606,,SEVENTH AVE,626,642,627,643,G00005491,,19,19
5607,,FRONT ST,201,210,,,G00005492,,2,2
5609,TENTH AVE ,AMSTERDAM AVE,,,,,G00005494,,12,12
5610,,3 AVE,,,,,G00005495,,19,19
5611,,3 AVE,,,,,G00005497,,19,19
5613,,W 29 ST,180,240,179,241,G00005499,,16,16
5614,,BROADWAY,381,397,380,398,G00005500,,6,5
5615,,W 41 ST,,,,,G00005501,,19,19
5616,,E 12 ST,1,27,2,32,G00005502,,15,15
5617,,FIFTH AVE,,,,,G00005503,,12,12
5619,,EIGHTH AVE,491,505,492,506,G00005505,,16,16
5620,HAMMOND ST,W 11 ST,94,106,93,105,G00005506,,9,9
5621,,MERCER ST,81,115,80,114,G00005507,,8,8
5622,,BROADWAY,261,271,,,G00005508,,6,3
5623,,AMSTERDAM AVE,,,,,G00005509,,19,19
5624,,3 AVE,,,,,G00005510,,19,19
5625,,VESEY ST,1,29,2,30,G00005511,,3,3
5627,,TENTH AVE,363,375,360,374,G00005513,,16,16
5629,,C AVE,191,203,190,202,G00005515,,11,11
5632,,MADISON AVE,,,,,G00005518,,12,12
5633,,E 26 ST,29,53,30,54,G00005519,,18,18
5634,,E 34 ST,135,161,130,162,G00005520,,18,18
5636,,W 33 ST,314,344,329,343,G00005522,,16,16
5637,,MAC DOUGAL ST,109,129,108,128,G00005523,,15,15
5640,ELEVENTH AVE ,SAINT NICHOLAS AVE,,,,,G00005526,,12,12
5641,,E 84 ST,,,,,G00005527,,19,19
5642,,OLD SLIP,14,26,,,G00005528,,1,1
