OBJECTID,BK_STREET1850_FULL_STREE,BK_STREET1850_Y1850NAMESTREET,BK_STREET1850_Y1850LEFT_LOW,BK_STREET1850_Y1850LEFT_HIGH,BK_STREET1850_Y1850RIGHT_LOW,BK_STREET1850_Y1850RIGHT_HIGH,BK_STREET1850_JOINID,BK_STREET1850_Y1850NAMEALT,Ward Left 1850,Ward Right 1850
244,S  1 ST,,,,,,G00000243,,,
245,HENRY ST,,,,,,G00000244,,6,6
247,PROSPECT PL,,,,,,G00000246,,9,9
251,6 AVE,,,,,,G00000250,,8,8
252,WILLOUGHBY ST,,,,,,G00000251,,11,11
255,VAN BRUNT ST,,,,,,G00000254,,6,6
259,HENRY ST,,,,,,G00000258,,6,6
260,WITHERS ST,,,,,,G00000259,,,
275,COLLEGE PL,,,,,,G00000274,,3,3
276,BRIDGE ST,,,,,,G00000275,,11,4
277,MIDDLETON ST,,,,,,G00000276,,7,7
279,WYTHE AVE,,,,,,G00000278,,,
282,WYTHE AVE,,,,,,G00000281,,,
286,LORIMER ST,,,,,,G00000285,,,
287,EIGHTH AVE,,,,,,G00000286,,8,8
288,VERMONT ST,,,,,,G00000287,,,
290,SCHOLES ST,,,,,,G00000289,,,
291,DIVISION AVE,,,,,,G00000290,,,7
292,EMPIRE BLVD,,,,,,G00000291,,,
296,RALPH AVE,,,,,,G00000295,,9,9
299,BAINBRIDGE ST,,,,,,G00000298,,9,9
300,LEXINGTON AVE,HICKORY ST ,,,,,G00000299,,7,7
302,WASHINGTON AVE,,,,,,G00000301,,7,11
303,NOSTRAND AVE,,,,,,G00000302,,9,9
304,LEXINGTON AVE,HICKORY ST ,,,,,G00000303,,9,9
316,LIVINGSTON ST,,,,,,G00000315,,3,3
320,PROSPECT AVE,,,,,,G00000319,,8,8
321,HANCOCK ST,,,,,,G00000320,,9,9
326,6 ST,,,,,,G00000325,,8,8
332,BEDFORD AVE,,,,,,G00000331,,9,7
334,PARK AVE,,,,,,G00000333,,11,11
338,HARRISON AVE,,,,,,G00000337,,7,7
340,SAINT JOHNS PL,,,,,,G00000339,,9,9
348,NOSTRAND AVE,,,,,,G00000347,,9,9
349,THROOP AVE,,,,,,G00000348,,7,7
352,KENT AVE,,,,,,G00000351,,7,7
357,AUBURN PL,,,,,,G00000356,,11,11
360,COURT ST,,,,,,G00000359,,3,3
361,DEAN ST,,,,,,G00000360,,10,10
363,NOSTRAND AVE,,,,,,G00000362,,9,9
372,LINCOLN PL,,,,,,G00000371,,9,9
374,N  10 ST,,,,,,G00000373,,,
377,SARATOGA AVE,,,,,,G00000376,,9,9
379,N  THIRD ST,,,,,,G00000378,,,
382,HOOPER ST,,,,,,G00000381,,,
384,PEARL ST,,,,,,G00000383,,4,4
393,WASHINGTON ST,,,,,,G00000392,,2,2
397,THROOP AVE,,,,,,G00000396,,9,9
401,ADAMS ST,,,,,,G00000400,,2,2
414,PACIFIC ST,,,,,,G00000413,,10,10
419,FOURTH AVE,,,,,,G00000418,,8,8
423,MOORE ST,,,,,,G00000422,,,
