OBJECTID,BK_STREET1850_FULL_STREE,BK_STREET1850_Y1850NAMESTREET,BK_STREET1850_Y1850LEFT_LOW,BK_STREET1850_Y1850LEFT_HIGH,BK_STREET1850_Y1850RIGHT_LOW,BK_STREET1850_Y1850RIGHT_HIGH,BK_STREET1850_JOINID,BK_STREET1850_Y1850NAMEALT,Ward Left 1850,Ward Right 1850
6676,BKLYN AVE,BROOKLYN AVE ,,,,,G00006623,,9,9
6684,SACKETT ST,,,,,,G00006631,,10,10
6688,MANHATTAN AVE,,,,,,G00006635,,,
6704,BERGEN ST,,,,,,G00006651,,10,10
6706,DIVISION AVE,,,,,,G00006653,,,7
6708,FULTON ST,,,,,,G00006655,,11,10
6713,FLATBUSH AVE,,,,,,G00006660,,8,8
6721,N  8 ST,,,,,,G00006668,,,
6724,SAINT MARK'S AVE,,,,,,G00006671,,9,9
6732,MONROE ST,,,,,,G00006679,,9,9
6735,BERGEN ST,,,,,,G00006682,,9,9
6738,UNION ST,,,,,,G00006685,,9,9
6746,GREENE AVE,,,,,,G00006693,,11,11
6747,PATCHEN AVE,,,,,,G00006694,,9,9
6748,47 ST,,,,,,G00006695,,8,8
6751,LINCOLN PL,,,,,,G00006698,,9,9
6754,ROCKAWAY AVE,,,,,,G00006701,,9,9
6757,HOWARD AVE,,,,,,G00006704,,9,9
6770,FIFTH ST,,,,,,G00006717,,8,8
6775,EIGHTH AVE,,,,,,G00006721,,8,8
6779,BERGEN ST,,,,,,G00006725,,10,10
6780,MONTAGUE ST,,,,,,G00006726,,3,3
6787,51 ST,,,,,,G00006733,,8,8
6791,SHEFFIELD AVE,,,,,,G00006737,,,
6796,DE KALB AVE,,,,,,G00006742,,7,7
6797,THROOP AVE,,,,,,G00006743,,9,9
6805,WILLOUGHBY ST,,,,,,G00006751,,11,11
6810,NEVINS ST,,,,,,G00006756,,10,10
6812,MONTROSE AVE,,,,,,G00006758,,,
6816,50 ST,,,,,,G00006762,,8,8
6822,FOURTH PL,,,,,,G00006768,,10,10
6823,ALBANY AVE,,,,,,G00006769,,9,9
6827,DIVISION AVE,,,,,,G00006773,,,7
6834,DEAN ST,,,,,,G00006780,,10,10
6841,HAMILTON AVE,,,,,,G00006787,,6,6
6845,BEDFORD AVE,,,,,,G00006791,,9,7
6849,FIFTH AVE,,,,,,G00006795,,8,8
6851,PACIFIC ST,,,,,,G00006797,,9,9
6853,ALBANY AVE,,,,,,G00006799,,9,9
6855,TOMPKINS AVE,,,,,,G00006801,,9,9
6861,STERLING PL,,,,,,G00006807,,9,9
6865,GERRY ST,,,,,,G00006811,,7,7
6872,COLUMBIA ST,,,,,,G00006818,,6,6
6884,MANHATTAN AVE,,,,,,G00006830,,,
6885,GREENE AVE,,,,,,G00006831,,11,11
6887,IMLAY ST,,,,,,G00006833,,6,6
6890,LEWIS AVE,,,,,,G00006836,,9,9
6892,QUINCY ST,,,,,,G00006838,,9,9
6893,PEARL ST,,,,,,G00006839,,2,2
6900,BKLYN AVE,BROOKLYN AVE ,,,,,G00006846,,9,9
6908,6 AVE,,,,,,G00006853,,8,8
6909,CARROLL ST,,,,,,G00006854,,6,6
6912,MYRTLE AVE,,,,,,G00006857,,11,11
6914,VERANDA PL,,,,,,G00006859,,6,6
6916,PATCHEN AVE,,,,,,G00006861,,9,9
6918,BEDFORD AVE,,,,,,G00006863,,7,7
6919,DE KALB AVE,,,,,,G00006864,,11,11
6927,WYTHE AVE,,,,,,G00006872,,,
6930,GOLD ST,,,,,,G00006875,,5,5
6932,FOURTH AVE,,,,,,G00006877,,8,8
6933,GRAHAM AVE,,,,,,G00006878,,,
6934,BEDFORD AVE,,,,,,G00006879,,,
6937,FULTON ST,,,,,,G00006882,,7,7
6948,16 ST,,,,,,G00006893,,8,8
6949,6 AVE,,,,,,G00006894,,8,8
6950,WHIPPLE ST,,,,,,G00006895,,7,7
6953,BOND ST,,,,,,G00006898,,10,10
6959,RICHARD ST,,,,,,G00006904,,6,6
6960,WILLOUGHBY AVE,,,,,,G00006905,,7,7
6966,6 AVE,,,,,,G00006911,,8,8
6970,WILLOW ST,,,,,,G00006915,,1,1
6971,2 AVE,,,,,,G00006916,,8,8
6976,PATCHEN AVE,,,,,,G00006921,,9,9
6982,KINGSTON AVE,,,,,,G00006927,,9,9
6983,PROSPECT PL,,,,,,G00006928,,9,9
6986,CLINTON AVE,,,,,,G00006931,,11,11
6989,BERRY ST,,,,,,G00006934,,,
6992,CLINTON ST,,,,,,G00006937,,6,6
6995,N  7 ST,,,,,,G00006940,,,
7003,JORALEMON ST,,,,,,G00006948,,3,3
7004,BEDFORD AVE,,,,,,G00006949,,,
7006,FULTON ST,,,,,,G00006951,,7,7
7011,MONTGOMERY ST,,,,,,G00006956,,9,9
7013,MACDONOUGH ST,,,,,,G00006958,,9,9
7015,VANDYKE ST,,,,,,G00006960,,6,6
7021,S  5 ST,,,,,,G00006966,,,
7038,MARCY AVE,,,,,,G00006983,,9,9
7039,6 AVE,,,,,,G00006984,,8,8
7045,FIRST PL,,,,,,G00006990,,6,6
7046,PARK AVE,,,,,,G00006991,,7,7
7047,S  1 ST,,,,,,G00006992,,,
7049,HOYT ST,,,,,,G00006994,,10,10
7051,NOSTRAND AVE,,,,,,G00006996,,9,9
7052,WASHINGTON AVE,,,,,,G00006997,,7,11
7058,ADAMS ST,,,,,,G00007003,,2,2
7063,HALL ST,,,,,,G00007008,,7,7
7066,MARCY AVE,,,,,,G00007011,,9,9
7068,BOERUM ST,,,,,,G00007013,,,
7072,VAN BRUNT ST,,,,,,G00007017,,6,6
7074,PRESIDENT ST,,,,,,G00007019,,10,10
7077,OTSEGO ST,,,,,,G00007022,,6,6
7078,MALCOLM X BLVD,REED AVE ,,,,,G00007023,,9,9
7079,58 ST,,,,,,G00007024,,8,8
7081,NOSTRAND AVE,,,,,,G00007026,,9,9
7082,CROWN ST,,,,,,G00007027,,9,9
7084,BEDFORD AVE,,,,,,G00007029,,,
7086,PULASKI ST,PULASKY ST ,,,,,G00007031,,9,9
7088,GLENMORE AVE,,,,,,G00007033,,,
7090,UNION ST,,,,,,G00007035,,9,9
7097,S  5 ST,,,,,,G00007042,,,
7102,BRIDGE ST,,,,,,G00007047,,5,2
7109,WASHINGTON AVE,,,,,,G00007054,,7,11
7111,QUINCY ST,,,,,,G00007056,,9,9
7112,JEFFERSON AVE,,,,,,G00007057,,9,9
7121,N  9 ST,,,,,,G00007066,,,
7128,KANE ST,,,,,,G00007073,,6,6
7132,FULTON ST,,,,,,G00007077,,9,9
7136,PEARL ST,,,,,,G00007081,,4,4
7139,FORT HAMILTN PKWY,,,,,,G00007084,,,
7141,HICKS ST,,,,,,G00007086,,6,6
7147,VARET ST,,,,,,G00007092,,,
7148,HALSEY ST,,,,,,G00007093,,9,9
7157,NOSTRAND AVE,,,,,,G00007102,,9,9
7158,PUTNAM AVE,,,,,,G00007103,,7,7
7160,FLUSHING AVE,,,,,,G00007105,,,11
7162,GRAND AVE,,,,,,G00007107,,7,7
7164,HALSEY ST,,,,,,G00007109,,9,9
7165,GRAHAM AVE,,,,,,G00007110,,,
7167,BEDFORD AVE,,,,,,G00007112,,,
7168,RALPH AVE,,,,,,G00007113,,9,9
7178,VAN BRUNT ST,,,,,,G00007123,,6,6
7180,STATE ST,,,,,,G00007125,,10,10
7186,TROY AVE,,,,,,G00007131,,9,9
7189,PARK PL,,,,,,G00007134,,9,9
7194,BOERUM PL,,,,,,G00007139,,10,10
7198,HALSEY ST,,,,,,G00007143,,9,9
7204,COURT ST,,,,,,G00007149,,10,6
7205,BALTIC ST,,,,,,G00007150,,10,10
7211,COLUMBIA HTS,,,,,,G00007156,,1,1
7219,S  8 ST,,,,,,G00007164,,,
7225,WILSON ST,,,,,,G00007170,,7,7
7227,HICKS ST,,,,,,G00007172,,6,6
7234,THROOP AVE,,,,,,G00007179,,9,9
7240,GREENE AVE,,,,,,G00007185,,11,11
7243,51 ST,,,,,,G00007188,,8,8
7246,DE KALB AVE,,,,,,G00007191,,9,9
7248,HINSDALE ST,,,,,,G00007193,,,
7250,ELIZABETH PL,,,,,,G00007195,,1,1
7252,BOND ST,,,,,,G00007197,,10,10
7277,STUYVESANT AVE,,,,,,G00007222,,9,9
7280,MYRTLE AVE,,,,,,G00007225,,7,7
7282,CARROLL ST,,,,,,G00007227,,8,8
7285,SEVENTH AVE,,,,,,G00007230,,8,8
7288,14 ST,,,,,,G00007233,,8,8
7291,ADAMS ST,,,,,,G00007236,,4,4
7292,RALPH AVE,,,,,,G00007237,,9,9
7293,SMITH ST,,,,,,G00007238,,10,10
7304,DEAN ST,,,,,,G00007249,,9,9
7306,SAINT FELIX ST,,,,,,G00007251,,11,11
7308,GRAHAM AVE,,,,,,G00007253,,,
7314,17 ST,,,,,,G00007259,,8,8
7315,THROOP AVE,,,,,,G00007260,,9,9
7320,UNION ST,,,,,,G00007265,,6,6
7322,JACKSON ST,,,,,,G00007267,,,
7323,DEAN ST,,,,,,G00007268,,9,9
7331,BROADWAY,,,,,,G00007276,,,
7361,BEDFORD AVE,,,,,,G00007305,,,
7363,FULTON ST,,,,,,G00007307,,11,11
7365,6 AVE,,,,,,G00007309,,8,8
7372,LAFAYETTE AVE,,,,,,G00007316,,7,7
7376,PITKIN AVE,,,,,,G00007320,,,
7377,UNION AVE,,,,,,G00007321,,,
7383,FOURTH AVE,,,,,,G00007327,,10,10
7384,MALCOLM X BLVD,REED AVE ,,,,,G00007328,,9,9
7385,HOWARD AVE,,,,,,G00007329,,9,9
7387,GOLD ST,,,,,,G00007331,,5,5
7388,BEDFORD AVE,PERRY AVE ,,,,,G00007332,,9,9
7397,COMMERCE ST,,,,,,G00007341,,6,6
7398,BERKLEY PL,,,,,,G00007342,,8,8
7401,COURT ST,,,,,,G00007345,,10,6
7411,GARVEY BLVD,,,,,,G00007355,,9,9
7412,ROGERS AVE,,,,,,G00007356,,9,9
7413,METROPOLITAN AVE,,,,,,G00007357,,,
7419,PRESIDENT ST,,,,,,G00007363,,9,9
7420,PACIFIC ST,,,,,,G00007364,,9,9
7424,ROCKAWAY AVE,,,,,,G00007368,,9,9
7425,SARATOGA AVE,,,,,,G00007369,,9,9
7427,DE GRAW ST,,,,,,G00007371,,10,10
7428,LAFAYETTE AVE,,,,,,G00007372,,11,11
7436,MACDONOUGH ST,,,,,,G00007380,,9,9
7443,FIFTH AVE,,,,,,G00007387,,8,8
7444,GREENE AVE,,,,,,G00007388,,9,9
7448,BUSHWICK AVE,MORRELL ST ,,,,,G00007392,,,
7451,FULTON ST,,,,,,G00007395,,11,11
7453,NEW YORK AVE,,,,,,G00007397,,9,9
7460,LAFAYETTE AVE,,,,,,G00007404,,7,7
7467,HUMBOLDT ST,,,,,,G00007411,,,
7499,LEONARD ST,,,,,,G00007441,,,
7509,GRAHAM AVE,,,,,,G00007451,,,
7529,UNDERHILL AVE,,,,,,G00007471,,11,7
7543,VISITATION PL,,,,,,G00007485,,6,6
7545,N  11 ST,,,,,,G00007487,,,
7563,METROPOLITAN AVE,,,,,,G00007505,,,
7574,JAY ST,,,,,,G00007516,,4,4
7575,14 ST,,,,,,G00007517,,8,8
7576,JAY ST,,,,,,G00007518,,4,4
7581,MAUJER ST,,,,,,G00007522,,,
7582,CLINTON ST,,,,,,G00007523,,6,6
7588,BEDFORD AVE,PERRY AVE ,,,,,G00007529,,9,9
7593,TOMPKINS AVE,,,,,,G00007534,,9,9
7595,KINGSTON AVE,,,,,,G00007536,,9,9
7598,6 AVE,,,,,,G00007539,,8,8
7599,LIVINGSTON ST,,,,,,G00007540,,10,10
7601,6 AVE,,,,,,G00007542,,8,8
7603,VERONA ST,,,,,,G00007544,,6,6
7613,PARK PL,,,,,,G00007554,,9,9
7614,THROOP AVE,,,,,,G00007555,,9,9
7615,MESEROLE ST,,,,,,G00007556,,,
7617,DE KALB AVE,,,,,,G00007558,,11,11
7623,FRANKLIN AVE,,,,,,G00007564,,7,7
7625,MANHATTAN AVE,,,,,,G00007566,,,
7628,MARCY AVE,,,,,,G00007569,,,
7633,STERLING PL,,,,,,G00007574,,9,9
7637,UNION ST,,,,,,G00007578,,9,9
7642,BALTIC ST,,,,,,G00007583,,10,10
7650,THROOP AVE,,,,,,G00007591,,7,7
7653,18 ST,,,,,,G00007594,,8,8
7654,ALABAMA AVE,,,,,,G00007595,,,
7664,MALCOLM X BLVD,REED AVE ,,,,,G00007605,,9,9
7669,VANSIDEREN AVE,,,,,,G00007610,,,
7671,3 AVE,,,,,,G00007612,,10,10
7673,THROOP AVE,,,,,,G00007614,,9,9
7674,39 ST,,,,,,G00007615,,8,8
7688,WASHINGTON ST,,,,,,G00007628,,2,2
7691,FOURTH AVE,,,,,,G00007631,,8,8
7692,S  5 ST,,,,,,G00007632,,,
7694,WOODHULL ST,,,,,,G00007634,,6,6
7697,UTICA AVE,,,,,,G00007637,,9,9
7699,HARRISON AVE,,,,,,G00007639,,7,7
7701,DRIGGS AVE,,,,,,G00007641,,,
7703,MARSHALL ST,,,,,,G00007643,,5,5
7705,UNION ST,,,,,,G00007645,,9,9
7709,MYRTLE AVE,,,,,,G00007649,,7,7
7712,LEWIS AVE,,,,,,G00007652,,9,9
7714,PARK AVE,,,,,,G00007654,,11,11
7716,MANHATTAN AVE,,,,,,G00007656,,,
7719,S  2 ST,,,,,,G00007659,,,
7720,N  OXFORD ST,,,,,,G00007660,,11,11
7721,2 AVE,,,,,,G00007661,,8,8
7729,LAFAYETTE AVE,,,,,,G00007669,,11,11
7738,GLENMORE AVE,,,,,,G00007678,,,
7740,DE KALB AVE,,,,,,G00007680,,9,9
7742,CHAUNCEY ST,,,,,,G00007682,,9,9
7747,42 ST,,,,,,G00007686,,8,8
7748,SKILLMAN AVE,,,,,,G00007687,,,
7751,FRONT ST,,,,,,G00007690,,2,2
7754,N  FIFTH ST,,,,,,G00007693,,,
7755,WITHERS ST,,,,,,G00007694,,,
7756,PUTNAM AVE,,,,,,G00007695,,9,9
7758,LAFAYETTE AVE,,,,,,G00007697,,11,11
7762,BROADWAY,,,,,,G00007701,,,7
7765,48 ST,,,,,,G00007704,,8,8
7770,PROSPECT  W,,,,,,G00007709,,8,8
7771,HENRY ST,,,,,,G00007710,,6,6
7772,LOVE LN,,,,,,G00007711,,3,3
7773,SMITH ST,,,,,,G00007712,,10,10
7776,N  FOURTH ST,,,,,,G00007715,,,
7783,HUMBOLDT ST,,,,,,G00007722,,,
7784,WASHINGTON AVE,,,,,,G00007723,,9,9
7791,S  PORTLAND AVE,,,,,,G00007730,,11,11
7792,6 ST,,,,,,G00007731,,8,8
7793,N  7 ST,,,,,,G00007732,,,
7803,MACON ST,,,,,,G00007742,,9,9
7805,GATES AVE,,,,,,G00007744,,9,9
7806,SEVENTH AVE,,,,,,G00007745,,8,8
7810,FROST ST,,,,,,G00007749,,,
7822,SAINT JOHNS PL,,,,,,G00007761,,9,9
7825,WILLOUGHBY AVE,,,,,,G00007764,,11,11
7830,PITKIN AVE,,,,,,G00007769,,,
7832,EIGHTH AVE,,,,,,G00007771,,8,8
7839,BERRY ST,,,,,,G00007778,,,
7840,UNION AVE,,,,,,G00007779,,,
7855,FIRST ST,,,,,,G00007794,,8,8
7858,PROSPECT PL,,,,,,G00007797,,9,9
7870,THROOP AVE,,,,,,G00007809,,7,7
7873,DECATUR ST,,,,,,G00007812,,9,9
7875,CLINTON ST,,,,,,G00007814,,6,6
7878,STUYVESANT AVE,,,,,,G00007817,,9,9
7882,DIKEMAN ST,,,,,,G00007821,,6,6
7884,GRAHAM AVE,,,,,,G00007823,,,
7887,OTSEGO ST,,,,,,G00007826,,6,6
7891,MESEROLE ST,,,,,,G00007830,,,
7897,S  OXFORD ST,,,,,,G00007836,,11,11
7899,WYTHE AVE,,,,,,G00007838,,,
7910,ROGERS AVE,,,,,,G00007848,,9,9
7912,MALCOLM X BLVD,REED AVE ,,,,,G00007850,,9,9
7914,ROEBLING ST,,,,,,G00007852,,,
7917,HERKIMER ST,,,,,,G00007855,,9,9
7922,S  2 ST,,,,,,G00007860,,,
7925,PACIFIC ST,,,,,,G00007863,,9,9
7926,FOURTH AVE,,,,,,G00007864,,10,10
7930,COURT ST,,,,,,G00007868,,10,6
7931,TROY AVE,,,,,,G00007869,,9,9
7936,FOURTH AVE,,,,,,G00007873,,8,8
7949,BALTIC ST,,,,,,G00007886,,6,6
7951,BROADWAY,,,,,,G00007888,,,7
7952,N  FIRST ST,,,,,,G00007889,,,
7961,MIDDLETON ST,,,,,,G00007898,,7,7
7962,6 AVE,,,,,,G00007899,,8,8
7966,S  10 ST,,,,,,G00007903,,,
7970,SIGOURNEY ST,,,,,,G00007907,,6,6
7971,UNION ST,,,,,,G00007908,,10,10
7975,POWERS ST,,,,,,G00007912,,,
7976,DE KALB AVE,,,,,,G00007913,,9,9
7980,6 AVE,,,,,,G00007917,,8,8
7986,CLARK ST,,,,,,G00007923,,1,1
7988,POWERS ST,,,,,,G00007925,,,
7991,LORIMER ST,,,,,,G00007928,,,
7992,BEDFORD AVE,,,,,,G00007929,,7,7
7994,PROSPECT PL,,,,,,G00007931,,9,9
7999,NOSTRAND AVE,,,,,,G00007936,,9,9
8000,DE KALB AVE,,,,,,G00007937,,9,9
8002,BROADWAY,,,,,,G00007939,,,
8006,PITKIN AVE,,,,,,G00007943,,,
8009,KEAP ST,,,,,,G00007946,,,
8010,HICKS ST,,,,,,G00007947,,6,6
8017,HICKS ST,,,,,,G00007954,,6,6
8018,ST JAMES'S PL,,,,,,G00007955,,7,7
8023,HICKS ST,,,,,,G00007960,,6,6
8030,HICKS ST,,,,,,G00007967,,6,6
8031,BOWNE ST,,,,,,G00007968,,6,6
8033,RALPH AVE,,,,,,G00007970,,9,9
8034,FLUSHING AVE,,,,,,G00007971,,,11
8040,GARVEY BLVD,,,,,,G00007977,,9,9
8044,PATCHEN AVE,,,,,,G00007981,,9,9
8048,MANHATTAN AVE,,,,,,G00007985,,,
8051,HALL ST,,,,,,G00007988,,7,7
8060,LEONARD ST,,,,,,G00007997,,,
8061,GREENE AVE,,,,,,G00007998,,9,9
8066,LORIMER ST,,,,,,G00008003,,,
8070,S  2 ST,,,,,,G00008007,,,
8071,81 ST,,,,,,G00008008,,,
8079,STATE ST,,,,,,G00008016,,3,3
8086,MACDOUGAL ST,,,,,,G00008023,,9,9
8087,MALCOLM X BLVD,REED AVE ,,,,,G00008024,,9,9
8093,FERRIS ST,,,,,,G00008030,,6,6
8109,LEWIS AVE,,,,,,G00008046,,9,9
8110,FOURTH PL,,,,,,G00008047,,6,6
8120,WOODHULL ST,,,,,,G00008057,,6,6
8122,BUFFALO AVE,,,,,,G00008059,,9,9
8128,TENTH ST,,,,,,G00008065,,8,8
8135,3 AVE,,,,,,G00008072,,8,8
8136,DOWNING ST,,,,,,G00008073,,7,7
8159,2 ST,,,,,,G00008096,,8,8
8161,BROADWAY,,,,,,G00008098,,,
8163,LEONARD ST,,,,,,G00008100,,,
8166,BUTLER ST,,,,,,G00008103,,10,10
8168,KANE ST,,,,,,G00008105,,6,6
8169,VERNON AVE,WOTHERSPOON ST ,,,,,G00008106,,9,9
8171,DE KALB AVE,,,,,,G00008108,,11,11
8174,NEVINS ST,,,,,,G00008111,,10,10
8175,WASHINGTON AVE,,,,,,G00008112,,9,9
8176,LAFAYETTE AVE,,,,,,G00008113,,7,7
8178,FULTON ST,,,,,,G00008115,,9,9
8179,MALCOLM X BLVD,REED AVE ,,,,,G00008116,,9,9
8181,FIFTH AVE,,,,,,G00008118,,8,8
8184,HOPE ST,,,,,,G00008121,,,
8186,COLUMBIA HTS,,,,,,G00008123,,1,1
8191,FOURTH AVE,,,,,,G00008128,,8,8
8199,JEFFERSON AVE,,,,,,G00008136,,7,7
8204,FULTON ST,,,,,,G00008141,,,
8207,HICKS ST,,,,,,G00008144,,6,6
8209,SEVENTH AVE,,,,,,G00008146,,8,8
8213,HICKS ST,,,,,,G00008150,,6,6
8214,FRANKLIN AVE,,,,,,G00008151,,7,7
8218,MAIN ST,,,,,,G00008155,,2,2
8227,BUFFALO AVE,,,,,,G00008164,,9,9
8228,KENT AVE,,,,,,G00008165,,,
8230,MONTGOMERY ST,,,,,,G00008167,,9,9
8231,SEVENTH AVE,,,,,,G00008168,,8,8
8235,N  PORTLAND AVE,,,,,,G00008171,,11,11
8238,CONOVER ST,,,,,,G00008174,,6,6
8239,S  8 ST,,,,,,G00008175,,,
8240,CLINTON ST,,,,,,G00008176,,3,3
8248,N  10 ST,,,,,,G00008184,,,
8249,WILLOUGHBY AVE,,,,,,G00008185,,9,9
8251,MACDONOUGH ST,,,,,,G00008187,,9,9
8261,HENRY ST,,,,,,G00008197,,6,6
8262,BEDFORD AVE,,,,,,G00008198,,7,7
8280,BARTLETT ST,,,,,,G00008216,,7,7
8285,40 ST,,,,,,G00008221,,8,8
8286,NEVINS ST,,,,,,G00008222,,10,10
8292,BUFFALO AVE,,,,,,G00008228,,9,9
8298,DRIGGS AVE,,,,,,G00008234,,,
8300,ROEBLING ST,,,,,,G00008236,,,
8303,36 ST,,,,,,G00008239,,8,8
8305,SMITH ST,,,,,,G00008241,,10,10
8307,BEDFORD AVE,,,,,,G00008243,,,
8314,BEDFORD AVE,,,,,,G00008250,,9,7
8317,NEW YORK AVE,,,,,,G00008253,,9,9
8320,KENT AVE,,,,,,G00008256,,7,7
8331,GARVEY BLVD,,,,,,G00008267,,9,9
8340,WYCKOFF ST,,,,,,G00008276,,10,10
8341,FRANKLIN AVE,,,,,,G00008277,,9,9
8342,CLIFTON PL,,,,,,G00008278,,9,9
8345,FIFTH AVE,,,,,,G00008281,,8,8
8357,WILLOUGHBY AVE,,,,,,G00008293,,7,7
8359,COLUMBIA ST,,,,,,G00008295,,6,6
8361,DEBEVOISE ST,,,,,,G00008297,,,
8363,BKLYN AVE,BROOKLYN AVE ,,,,,G00008299,,9,9
8366,LORIMER ST,,,,,,G00008302,,,
8371,,,,,,,G00008307,,7,7
8374,SCHOLES ST,,,,,,G00008310,,,
8383,SAINT MARK'S AVE,,,,,,G00008319,,8,8
8385,15 ST,,,,,,G00008321,,8,8
8386,LORIMER ST,,,,,,G00008322,,,
8389,STUYVESANT AVE,,,,,,G00008325,,9,9
8391,POPLAR ST,,,,,,G00008327,,3,3
8404,THROOP AVE,,,,,,G00008340,,9,9
8407,S  FOURTH ST,,,,,,G00008343,,,
8410,BERRY ST,,,,,,G00008346,,,
8415,ROCHESTER AVE,,,,,,G00008351,,9,9
8420,3 AVE,,,,,,G00008356,,10,10
8421,EIGHTH AVE,,,,,,G00008357,,8,8
8425,COLUMBIA HTS,,,,,,G00008361,,1,1
8426,LEXINGTON AVE,HICKORY ST ,,,,,G00008362,,9,9
8434,FIFTH AVE,,,,,,G00008370,,8,8
8438,HUMBOLDT ST,,,,,,G00008374,,,
8442,BERGEN ST,,,,,,G00008378,,9,9
8457,UNION AVE,,,,,,G00008392,,,
8458,HOOPER ST,,,,,,G00008393,,,
8463,TOMPKINS AVE,,,,,,G00008398,,9,9
8465,COLUMBIA HTS,,,,,,G00008400,,1,1
8466,FIFTH AVE,,,,,,G00008401,,8,8
8467,MONROE ST,,,,,,G00008402,,7,7
8480,HUDSON AVE,,,,,,G00008415,,5,5
8483,PARK AVE,,,,,,G00008418,,9,9
8490,N  13 ST,,,,,,G00008425,,,
8493,MACON ST,,,,,,G00008428,,9,9
8500,CLINTON ST,,,,,,G00008435,,6,6
8503,WYTHE AVE,,,,,,G00008438,,,
8512,FLUSHING AVE,,,,,,G00008447,,7,7
8518,BEDFORD AVE,,,,,,G00008453,,9,7
8525,FLATBUSH AVE,,,,,,G00008460,,8,8
8526,GRAND AVE,,,,,,G00008461,,7,7
8529,PRESIDENT ST,,,,,,G00008464,,6,6
8534,MANHATTAN AVE,,,,,,G00008469,,,
8544,CLINTON ST,,,,,,G00008479,,3,3
8545,FIFTH AVE,,,,,,G00008480,,8,8
8549,19 ST,,,,,,G00008484,,8,8
8555,ATLANTIC AVE,,,,,,G00008490,,7,7
8557,MONROE ST,,,,,,G00008492,,9,9
8561,THROOP AVE,,,,,,G00008496,,9,9
8565,MARCY AVE,,,,,,G00008500,,9,9
8572,BELMONT AVE,,,,,,G00008506,,,
8575,SEVENTH AVE,,,,,,G00008509,,,8
8582,LORIMER ST,,,,,,G00008515,,,
8591,EIGHTH AVE,,,,,,G00008524,,8,8
8601,SAINT MARK'S AVE,,,,,,G00008534,,9,9
8604,REMSEN ST,,,,,,G00008537,,3,3
8606,52 ST,,,,,,G00008539,,8,8
8610,FLEET ST,,,,,,G00008543,,11,11
8611,MYRTLE AVE,,,,,,G00008544,,7,7
8614,CLINTON ST,,,,,,G00008547,,6,6
8618,FOURTH AVE,,,,,,G00008551,,10,10
8620,UTICA AVE,,,,,,G00008553,,9,9
8621,PROSPECT ST,,,,,,G00008554,,2,2
8626,CARROLL ST,,,,,,G00008559,,9,9
8633,FRONT ST,,,,,,G00008565,,5,5
8637,BERRY ST,,,,,,G00008569,,,
8640,COURT ST,,,,,,G00008572,,10,6
8643,FULTON ST,,,,,,G00008575,,9,9
8647,PROSPECT ST,,,,,,G00008579,,2,2
8672,DECATUR ST,,,,,,G00008604,,9,9
8681,HALSEY ST,,,,,,G00008613,,9,9
8684,EMERSON PL,,,,,,G00008616,,7,7
8685,SEVENTH AVE,,,,,,G00008617,,8,8
8693,LORIMER ST,,,,,,G00008625,,,
8700,SCHOLES ST,,,,,,G00008632,,,
8708,MARCY AVE,,,,,,G00008640,,9,9
8711,W  9 ST,,,,,,G00008643,,10,10
8713,N  9 ST,,,,,,G00008645,,,
8721,UNION AVE,,,,,,G00008653,,,
8723,MADISON ST,,,,,,G00008655,,9,9
8726,TOMPKINS AVE,,,,,,G00008658,,9,9
8735,WYTHE AVE,,,,,,G00008667,,,
8745,EIGHTH AVE,,,,,,G00008676,,8,8
8747,59 ST,,,,,,G00008678,,8,8
8754,N  7 ST,,,,,,G00008685,,,
8758,CLERMONT AVE,,,,,,G00008689,,11,11
8761,2 AVE,,,,,,G00008692,,8,8
8765,COURT ST,,,,,,G00008696,,3,3
8771,COFFEY ST,,,,,,G00008702,,6,6
8781,S  3 ST,,,,,,G00008712,,,
8787,METROPOLITAN AVE,,,,,,G00008718,,,
8789,ROCHESTER AVE,,,,,,G00008720,,9,9
8792,PINEAPPLE ST,,,,,,G00008723,,1,1
8793,BEDFORD AVE,,,,,,G00008724,,,
8795,DUFFIELD ST,,,,,,G00008726,,5,5
8797,BOND ST,,,,,,G00008728,,10,10
8801,LEONARD ST,,,,,,G00008732,,,
8806,6 AVE,,,,,,G00008737,,8,8
8810,COURT ST,,,,,,G00008741,,10,6
8814,HULL ST,,,,,,G00008745,,9,9
8821,HENRY ST,,,,,,G00008751,,6,6
8826,WILLIAMS AVE,,,,,,G00008756,,,
8828,S  PORTLAND AVE,,,,,,G00008758,,11,11
8849,MYRTLE AVE,,,,,,G00008779,,11,11
8850,THOMAS BOYLAND ST,,,,,,G00008780,,9,9
8856,LIBERTY AVE,,,,,,G00008786,,,
8859,ROCKWELL PL,,,,,,G00008789,,11,11
8862,CLINTON ST,,,,,,G00008792,,6,6
8866,SULLIVAN ST,,,,,,G00008796,,6,6
8868,KENT AVE,,,,,,G00008798,,,
8871,52 ST,,,,,,G00008801,,8,8
8879,HENRY ST,,,,,,G00008808,,6,6
8892,WASHINGTON AVE,,,,,,G00008821,,7,9
8895,RED HOOK LN,,,,,,G00008824,,10,10
8905,HEYWARD ST,,,,,,G00008834,,7,7
8909,PARK AVE,,,,,,G00008838,,7,7
8912,7 ST,,,,,,G00008841,,8,8
8913,S  9 ST,,,,,,G00008842,,,
8918,CHAUNCEY ST,,,,,,G00008847,,9,9
8921,N  SIXTH ST,,,,,,G00008850,,,
